degree mse r2 bias var
0 15225.060605627605 -273.8955828539405 15223.383038682181 1.6775669454234954
1 10551.996168153144 -49809.210675884045 10547.964753451668 4.031414701475733
2 8831.699056566582 -44207.50285222242 8823.899665004146 7.799391562433226
3 6515.463213773331 -59784.666460178414 6506.729112132261 8.734101641068161
4 5015.852174200137 -44466.1159815922 5005.877966806487 9.97420739364991
5 4186.326414946655 -39622.369860443185 4174.345553868541 11.980861078113868
6 3740.1819117345512 -35372.642058280566 3726.2933943297403 13.888517404810473
7 3696.411390909898 -33403.52508729639 3681.0045166234067 15.406874286491531
8 3537.2510727476665 -28844.67168231736 3522.5803447814737 14.670727966192317
9 3406.9276552046367 -24664.338509818375 3390.9739183478655 15.953736856771568
10 3357.132331193679 -22579.85681630436 3341.6163869665484 15.515944227129909
11 3336.3611503843813 -21924.462826195362 3320.9120488247395 15.449101559642395
12 3320.8393186741673 -21684.712261953806 3304.7456806511104 16.093638023056975
13 3309.104414158931 -21286.34513707659 3292.2616228304973 16.842791328433766
14 3292.956402425971 -21180.34687828613 3274.548630385923 18.407772040048755
15 3278.060659645584 -20843.197158234347 3260.302793756237 17.757865889347283
