degree mse r2 bias var
0 15200.348562361756 -1159.4903122360386 15198.607802256895 1.7407601048618677
1 10124.941282734275 -568475.6718403277 10121.063207034069 3.878075700204748
2 8301.207445839555 -321608.4219384151 8293.093196934338 8.114248905215614
3 6209.42143185494 -268630.4668221631 6199.970201125714 9.4512307292278
4 5006.738267234799 -205996.51008553404 4996.387365185208 10.350902049591719
5 4342.074672399996 -181484.6228435985 4331.6120508839285 10.462621516068769
6 4111.34914273475 -168255.21706586037 4099.709475517011 11.639667217738547
7 4027.0450352121325 -195905.92475273038 4014.721380813405 12.323654398727317
8 3941.5347039259345 -217404.1437168289 3929.134430662914 12.40027326302099
9 3869.3134138441615 -213900.72400590128 3856.97844091679 12.334972927371476
10 3797.2485888329193 -202373.41252197596 3784.4326361234007 12.815952709519436
11 3716.9095512005792 -194175.04008813025 3703.873219872419 13.036331328160415
12 3633.5115890377524 -199749.90278285113 3620.7094091560484 12.802179881704143
13 3567.469618327398 -216119.4888736363 3555.1153236008026 12.35429472659583
14 3522.3020673056158 -240221.17676675014 3510.0434663489746 12.258600956640795
15 3500.929109093762 -265233.93088393984 3488.5375604893625 12.391548604399844
