degree mse r2 bias var
0 15007.449719802988 -2457.955387909168 15006.105254773296 1.3444650296907308
1 11039.902296312695 -182489.1597784275 11035.782846262746 4.119450049948696
2 8871.513317530324 -160222.9647390318 8864.125502945566 7.387814584756923
3 7728.087839892909 -128967.89146967065 7708.643652672078 19.444187220829527
4 7751.8100060477655 -138691.49651622624 7732.25954778597 19.550458261796233
5 7770.35769351041 -131718.96474460934 7756.075575437696 14.282118072715116
6 7761.494621611325 -118219.49767878372 7748.566594367219 12.928027244106191
7 7770.49543807338 -106706.55539030083 7757.922407087612 12.573030985768671
8 7772.198335734338 -97999.18224431993 7759.21565861929 12.982677115047819
9 7763.466596771146 -93434.1858561037 7749.454127014577 14.012469756568908
10 7765.724290012709 -91467.15619511358 7750.317826115081 15.406463897629088
11 7754.0527918373 -92075.71738095622 7738.761391257511 15.291400579789252
12 7765.263083010573 -94174.20401081246 7750.759240259121 14.503842751451725
13 7756.688740130483 -96235.53028228659 7741.411323151612 15.277416978871202
14 7764.857172693338 -96840.31893458308 7751.307268064977 13.549904628362032
15 7769.619937386946 -97343.20233390595 7755.968811552145 13.65112583480143
