degree mse r2 bias var
0 15007.211895150856 -2444.007769254847 15005.376025641277 1.8358695095752688
1 11038.672472211463 -182978.99939687832 11034.829082407354 3.8433898041097865
2 8870.135696871177 -160363.5781779474 8862.713265285882 7.422431585293478
3 7754.817465062812 -128088.91188607214 7736.546414416603 18.271050646209027
4 7793.440538680467 -137141.5672918679 7771.594989680898 21.845548999569314
5 7780.192335112058 -132238.64661736388 7762.705368712402 17.48696639965493
6 7805.268508464319 -120078.61609334483 7792.541837237901 12.726671226417238
7 7774.195533727088 -106974.55501432334 7761.563939959926 12.631593767161924
8 7802.19090951332 -98995.1457219459 7789.438680609258 12.752228904060248
9 7769.497748693469 -93582.95284442426 7756.002888735511 13.494859957958187
10 7775.183372037136 -92024.98627373937 7760.116612416866 15.066759620269465
11 7756.154356947389 -92184.36151340522 7742.602959259304 13.551397688085451
12 7773.264177281779 -94214.9256855801 7760.474213434866 12.789963846912798
13 7761.036510814456 -96033.66773911267 7747.082699668732 13.953811145723693
14 7791.826940028125 -97246.57253129891 7778.777458191206 13.049481836919561
15 7763.960204218921 -97099.34525575263 7751.684775247321 12.27542897159856
