degree mse r2 bias var
0 15006.306485562698 -2392.8245490351114 15004.27924865886 2.0272369038406923
1 11020.975477858616 -177065.45054895896 11017.328814468383 3.646663390230884
2 9185.422440382099 -151877.71325088167 9178.5003984078 6.922041974297422
3 8408.808830520642 -115009.94835544197 8403.421592010345 5.387238510298461
4 8207.360199323635 -124047.02672701601 8202.663473176075 4.696726147560477
5 8201.914593308664 -128948.09580174318 8196.940638448936 4.973954859727898
6 8190.3116336559015 -126192.96355264593 8185.692726613146 4.618907042755825
7 8182.58533717135 -121766.05428425134 8177.747365872948 4.837971298402983
8 8193.436104049533 -119483.53348769141 8188.836400186147 4.599703863385482
9 8195.839035667237 -116576.51704988764 8190.38823144854 5.450804218697587
10 8176.677215438269 -113253.93301325708 8171.711770846406 4.965444591862061
11 8151.776349401835 -108959.46261776013 8146.578385337154 5.197964064681016
12 8133.551594374581 -105891.25571562725 8128.042797184709 5.508797189870786
13 8115.346037255339 -104157.06890965842 8109.34364659711 6.002390658229591
14 8096.168478256799 -103171.78906629585 8090.537420033031 5.631058223767557
15 8088.826970877123 -103194.7805125352 8083.014082049591 5.812888827533889
