degree mse r2 bias var
0 15199.834229849012 -1100.5586957327173 15197.879820235665 1.9544096133475142
1 10125.344218672199 -567035.5553383755 10121.226428067761 4.117790604438978
2 8300.33710327116 -322521.71181525936 8292.212884366076 8.12421890508571
3 6209.210469515152 -269606.4002877784 6199.720382587334 9.490086927817892
4 5011.896411639749 -204966.22490225482 5001.375671718136 10.520739921613375
5 4133.558069368798 -169174.94078853264 4120.932532603189 12.625536765608246
6 3697.739882106181 -257580.83376521978 3681.7273093660783 16.012572740102367
7 3488.8493373988244 -223719.72849869585 3471.645837908869 17.20349948995562
8 3390.4086071242987 -216743.0132478521 3372.780792054805 17.627815069493984
9 3340.392435683347 -240962.96476483636 3322.642066751205 17.750368932141285
10 3284.8227916737824 -270814.36700449366 3266.498059885852 18.32473178793037
11 3243.484865674229 -291201.47171398404 3223.59762962763 19.88723604659936
12 3225.3249364820444 -302185.66823052644 3204.6495997221805 20.675336759864106
13 3208.7395830570795 -297529.4612288719 3187.3099713998554 21.42961165722386
14 3181.7004865638423 -289868.9645584898 3160.6214908483716 21.078995715470924
15 3139.870872407042 -276008.2919085013 3119.159309249282 20.711563157759905
