degree mse r2 bias var
0 15006.206637995456 -2386.9165324065807 15003.935326192453 2.271311803002447
1 11040.129993342933 -181859.46886108973 11036.383149979554 3.7468433633778306
2 8880.166965239823 -158259.7483045292 8873.314228793055 6.852736446768677
3 8049.082625122563 -122472.73589897763 8038.100658672046 10.98196645051626
4 7985.966308853852 -132957.26408542183 7973.891050581302 12.075258272550528
5 7994.9646568437665 -133638.69823848852 7984.923907632743 10.04074921102341
6 7992.189305763965 -126123.16521688693 7984.023058031026 8.166247732938686
7 7915.257001591727 -113429.07789619993 7906.566963985274 8.690037606452849
8 7864.5437260358185 -103159.93501327284 7855.588642657942 8.95508337787546
9 7826.2910188641135 -96617.99568311707 7818.035994095042 8.255024769071609
10 7811.813520723302 -93514.76787173234 7801.042607570486 10.77091315281529
11 7806.740315403293 -93386.96079639893 7797.594634635077 9.145680768215792
12 7783.074927223506 -94709.09803911319 7772.711097909817 10.36382931368947
13 7803.3207681868835 -96211.64515327616 7792.608875885822 10.71189230106114
14 7805.690773397574 -96528.8772405388 7796.2338970860765 9.456876311497101
15 7806.511214075198 -97139.78137657393 7797.038320517515 9.472893557682838
