degree mse r2 bias var
0 15226.011958677993 -280.9407930463504 15224.338965576162 1.6729931018294082
1 10552.330726418704 -49752.460426845704 10548.156386191306 4.174340227398212
2 8830.054540571928 -44112.33770172423 8822.991890825164 7.062649746765258
3 6516.26997978904 -59883.63023085759 6506.890133476269 9.379846312769955
4 5015.897202339317 -44401.58952634466 5005.641260150027 10.255942189290693
5 4188.544858242729 -39635.13820680157 4175.893900228112 12.65095801461654
6 3736.103607433578 -34539.30608810371 3720.0338975717827 16.06970986179527
7 3456.499209815263 -25572.327864961724 3436.4558863690604 20.043323446202407
8 3372.8558889499977 -22267.759114332464 3354.3883737099386 18.467515240058876
9 3284.9609139673157 -21108.306752056003 3265.471551012896 19.48936295441966
10 3210.418215324387 -20630.093735354247 3189.947989108289 20.47022621609727
11 3170.905119873566 -20849.285437590515 3149.2723970178777 21.632722855688527
12 3131.3509634056927 -21032.53776463744 3108.2491204113076 23.1018429943847
13 3068.7357961987723 -21053.337141062864 3046.2763076745887 22.459488524183758
14 2982.0073496855352 -20948.381221212705 2959.9850130140107 22.022336671524645
15 2897.092198660569 -20387.29945573467 2874.849923874968 22.242274785600745
