degree mse r2 bias var
0 15200.59362552211 -1188.1163134113933 15198.786828029311 1.80679749279474
1 10124.788703699855 -567346.397745833 10120.982057387046 3.8066463128090455
2 8299.537180021569 -321009.44741491415 8292.00112835167 7.536051669897098
3 6212.309008245648 -269137.98699509515 6202.571040363301 9.737967882348121
4 5012.471588765117 -205934.49688603941 5000.954887296616 11.516701468501827
5 4132.707516152823 -171264.47456141262 4119.654292364108 13.053223788714384
6 3713.170710227096 -234001.575847715 3698.3306660743265 14.840044152769313
7 3655.719465232665 -230947.69669169086 3639.622644489248 16.09682074341646
8 3498.3146433790307 -212422.72354069882 3482.7941817913606 15.52046158767015
9 3382.7502666650857 -221373.48981844028 3367.185842806886 15.56442385820002
10 3336.248422593445 -245622.6764358092 3319.363364269309 16.885058324136054
11 3309.8488853673675 -271593.73430463724 3293.1256577557874 16.723227611579652
12 3292.5283638991586 -290242.5309750373 3275.5894554329125 16.93890846624561
13 3275.9185149336745 -302997.50337340584 3257.967774989448 17.95073994422652
14 3263.36878362437 -302904.746345929 3245.316763420818 18.052020203552143
15 3247.5176565845654 -294266.4859074193 3229.6850763662446 17.832580218320967
