degree mse r2 bias var
0 15004.554416278785 -2294.3087577127003 15002.642948833438 1.9114674453481681
1 11039.743326303125 -182897.88878699238 11035.72471428791 4.018612015214742
2 8871.954449685965 -160111.7963516583 8863.90939844306 8.045051242903149
3 7723.8333737673265 -128976.64124262678 7705.537779309263 18.29559445806325
4 7755.181676529293 -138435.82812909663 7735.719294206845 19.46238232245023
5 7772.310797397359 -131599.37386277423 7758.576536628715 13.734260768644177
6 7773.695983893416 -119069.24526632931 7760.279799767201 13.416184126214183
7 7756.556768618381 -105984.4581359378 7742.602243008836 13.954525609545353
8 7766.714869991275 -98330.93272591538 7752.291749767604 14.423120223671207
9 7768.341899294397 -93314.66158735899 7753.613588667248 14.728310627148957
10 7748.163430852887 -91167.34015931227 7734.191880361569 13.971550491317533
11 7756.293718781877 -92378.58117793534 7741.23014516898 15.063573612896445
12 7771.6897486593125 -93888.19042670348 7755.98383019402 15.705918465292724
13 7773.001301894236 -96209.40037708812 7758.139552608305 14.861749285931069
14 7763.899020712067 -97172.88733333851 7749.970727835503 13.928292876563253
15 7756.377725375588 -97697.33411242318 7743.7441348964585 12.633590479129529
