degree mse r2 bias var
0 15200.498343392399 -1176.713561312534 15198.807256654458 1.6910867379420156
1 10125.332135758556 -568545.5445469804 10121.271752496314 4.060383262242729
2 8302.367988882472 -321305.107400918 8293.52458365397 8.843405228501933
3 6212.655839383577 -269583.75700730266 6202.904696174182 9.751143209394831
4 5009.010925788122 -206622.82894534693 4998.2493603169 10.761565471222504
5 4137.127368484942 -169316.0418727469 4124.635626297056 12.491742187887079
6 3905.983703371244 -184058.2601094552 3893.112383916658 12.871319454585691
7 3775.0336158481664 -220089.3613556491 3761.6809956776565 13.35262017050909
8 3719.2561100363127 -214630.9404368536 3705.3619201373817 13.894189898930483
9 3619.1484787808895 -200092.62821754266 3604.1186566165743 15.029822164315092
10 3488.4329419824844 -205045.70432958196 3474.947432471589 13.48550951089486
11 3400.646637104745 -227356.93764100884 3387.202034499253 13.444602605492246
12 3364.296308274135 -252616.61195406935 3350.82235051576 13.473957758375253
13 3353.766272667997 -280475.8164142453 3339.382506147201 14.383766520795714
14 3352.263047440317 -299808.88465455757 3337.526744410649 14.736303029668749
15 3346.072626375559 -306991.5978798993 3330.8884798032864 15.184146572272423
