degree mse r2 bias var
0 15201.13863495427 -1250.990826561026 15199.465137300258 1.6734976540103224
1 10128.331497995863 -564555.7041901323 10124.34902689349 3.9824711023738426
2 8300.069839374244 -321813.5463397052 8291.90411844651 8.165720927734935
3 6221.688190174672 -266758.7279001861 6212.572966876813 9.115223297858963
4 5799.634609454035 -241989.84534103898 5791.297250140997 8.337359313039155
5 5380.431663159846 -220563.68320931235 5372.117980036609 8.313683123236782
6 5211.409280640672 -214655.12018696175 5201.832443641048 9.57683699962326
7 5107.429832620805 -205272.38303841735 5097.625806294568 9.804026326237349
8 4987.6564254170735 -193206.7033460065 4978.239269661082 9.417155755992104
9 4859.122212419214 -188464.6945130992 4849.396611354639 9.725601064574922
10 4755.98698579403 -193445.63271662526 4746.793308227807 9.193677566223835
11 4697.605710708606 -202301.65618223764 4687.938350412652 9.667360295953772
12 4670.148345395238 -212852.65814946426 4659.991010493677 10.157334901560812
13 4660.450164150087 -217078.0317807209 4650.270882082164 10.179282067922815
14 4651.428394983479 -217692.06337464662 4640.422341332948 11.006053650529827
15 4631.682395265757 -214497.81665595193 4620.4252016737655 11.257193591991426
