degree mse r2 bias var
0 15103.865597326456 -34518.28475384507 15101.976165963591 1.8894313628642474
1 10566.263721778345 -8474143.28751728 10562.174696200458 4.089025577886928
2 8648.114150301866 -3842955.6710463325 8639.985510183189 8.128640118677872
3 6357.875921356513 -4742698.354602204 6348.038671146956 9.837250209555188
4 5114.942992921558 -4139176.5385110653 5104.286311169935 10.656681751621612
5 4242.525540579948 -4747537.183930897 4231.1284981262015 11.397042453747378
6 3729.267075573447 -6485461.589476859 3714.348397719416 14.918677854031152
7 3544.4929670572697 -5984811.828511777 3527.755174350072 16.737792707197304
8 3436.548034658173 -6117177.220220652 3419.963697101069 16.584337557104103
9 3386.6373143094183 -5926895.043823048 3370.199769024434 16.437545284984825
10 3326.4485223539527 -5342268.564080881 3309.1145174497856 17.334004904167077
11 3278.8277489481707 -4811318.388822023 3260.3815388076287 18.446210140542128
12 3252.688593743588 -4574041.227984572 3233.2112479877837 19.47734575580443
13 3235.2626499810076 -4486784.452895186 3215.6240265415927 19.63862343941537
14 3205.01257611373 -4380232.126295083 3185.281280527709 19.731295586021055
15 3162.4879314086534 -4216916.533908074 3142.03205445685 20.45587695180301
16 3106.7244116371194 -4055331.6974204085 3086.361297283487 20.36311435363228
17 3057.0386545928327 -3932098.319609092 3037.1154825592175 19.92317203361498
18 3016.6700044422887 -3812937.721566923 2996.436845537087 20.233158905201936
19 2986.678562031882 -3765665.7919938094 2965.919588169069 20.758973862812645
20 2966.0879095640125 -3716838.6460076836 2945.148727417855 20.939182146157606
