degree mse r2 bias var
0 15102.829981955312 -32371.48627904175 15100.905933946375 1.9240480089313048
1 10566.372859346164 -8466806.950586233 10562.48530612418 3.8875532219835573
2 8648.392300610984 -3845641.1425352492 8640.201214811477 8.19108579950415
3 6357.252137068345 -4728823.098015327 6347.704827019331 9.54731004901401
4 5114.816076244526 -4138915.4475322366 5104.2330335787055 10.5830426658188
5 4243.286289578255 -4749195.680446808 4231.216917857365 12.069371720888176
6 3724.9285501303507 -6521686.760034951 3710.0495308893924 14.879019240959138
7 3471.870505870345 -5956247.166790111 3452.864855449083 19.005650421263056
8 3394.5942900098075 -6418357.18130627 3374.8006968101654 19.793593199642437
9 3162.9967510738593 -4674441.911090473 3142.483821799044 20.512929274815008
10 3076.6925107074558 -4355892.890323996 3054.9452895883887 21.747221119067337
11 3018.2331995371087 -4201122.76072259 2994.7702900348177 23.462909502291946
12 2882.698687870374 -3760036.4434514833 2861.110352259546 21.58833561082833
13 2733.9934014833384 -3382675.6160122603 2713.4877728122974 20.505628671040547
14 2632.3660654697637 -3293087.907068934 2612.299325931704 20.066739538059423
15 2582.881499878504 -3309959.617974544 2561.989644916157 20.891854962347626
16 2550.499634805287 -3248748.6417485527 2528.8570596616414 21.642575143645693
17 2518.205265498174 -3128640.469892727 2495.185868341376 23.019397156797567
18 2478.991991981697 -2957848.798154372 2457.222800413612 21.769191568085056
19 2440.552606538569 -2871199.7412939593 2418.60393977982 21.94866675874826
20 2396.1515785453093 -2823758.110842732 2374.922162303836 21.229416241473135
degree mse r2 bias var
21 2368.3816710345986 -58347.4955831471 2346.2930962710384 22.088574763560327
22 2335.676790343091 -55994.65276578533 2312.828171580901 22.848618762190384
