degree mse r2 bias var
0 15103.391440562447 -33534.536776182824 15101.554258629505 1.837181932942923
1 10566.71562086322 -8443777.206676528 10563.08146560355 3.634155259668667
2 8648.54719302601 -3836086.528797207 8640.207978655535 8.339214370475498
3 6357.753239092399 -4743844.55640268 6348.086510300443 9.666728791956755
4 5117.97938502995 -4002514.60426533 5107.569920398167 10.40946463178252
5 4477.344442263477 -3930674.3612391623 4467.9072210095765 9.437221253900525
6 4221.951069593232 -4934487.646894293 4211.334922688293 10.616146904939237
7 4096.772535853157 -5531489.296867133 4085.976860744846 10.79567510831206
8 3998.1997254318208 -5795459.020711202 3986.7159130384957 11.483812393325117
9 3929.331535309742 -5878416.434994306 3917.445880464567 11.885654845175768
10 3867.761231903342 -5822427.2280701 3855.568735680316 12.192496223025952
11 3793.985292438281 -5613412.943574271 3781.6807106091233 12.30458182915774
12 3711.607649316733 -5282359.703238486 3699.667117978899 11.940531337833507
13 3640.2210087444323 -4981848.811551635 3628.1450818920866 12.075926852345336
14 3592.603372719755 -4772997.33941453 3580.219420966715 12.383951753039595
15 3569.741834863803 -4620546.010717642 3557.911014043041 11.830820820762293
16 3562.3391637996788 -4553974.745184116 3549.8246896394626 12.514474160216388
17 3563.345662760305 -4523099.580594319 3550.60383339838 12.741829361925337
18 3560.4802842628746 -4529839.232528327 3547.466873174617 13.013411088257808
19 3553.5392528245575 -4479356.250576161 3540.783600395698 12.755652428859134
20 3542.4144589185216 -4515776.237369467 3529.0218994189713 13.392559499549668
