degree mse r2 bias var
0 15103.539848899885 -33841.938574187814 15101.730180578286 1.8096683215986362
1 10566.113631976015 -8480231.003826275 10562.144399306806 3.969232669208416
2 8649.70186939887 -3833491.5899350373 8640.537727178204 9.164142220665697
3 6358.677846831369 -4744746.00444605 6349.076831754653 9.601015076715605
4 5113.376097583301 -4145560.3040122646 5103.044476250998 10.331621332303618
5 4245.738373786122 -4721416.793770969 4233.587831746926 12.150542039196658
6 3765.126720971887 -6229244.766140321 3751.55317365083 13.573547321057585
7 3712.9556720906357 -6222683.898082895 3698.024971749024 14.930700341611178
8 3566.3806876591293 -5940496.41385506 3552.197690115689 14.182997543440406
9 3446.7993370324534 -5761564.19406747 3431.881469981615 14.917867050838272
10 3390.551883826055 -5620989.465187516 3375.9382958323713 14.61358799368403
11 3362.9100895656798 -5325092.126729031 3347.4955852152602 15.414504350418985
12 3338.997376377538 -5006074.303257605 3322.796371075948 16.201005301590268
13 3318.1693166121395 -4755171.187989939 3301.5516183326613 16.617698279477878
14 3298.378882352394 -4577942.707010902 3281.1900147465394 17.188867605855336
15 3282.48184687976 -4531605.884652251 3264.8020973537173 17.679749526042265
16 3264.894224580619 -4524333.2694696225 3246.4203193722124 18.473905208406972
17 3240.01957411595 -4434217.5047227405 3221.856144580844 18.163429535105525
18 3213.466983248632 -4378362.046366321 3195.9015182054 17.565465043231814
19 3185.801660935681 -4260787.090004046 3167.534665295546 18.266995640135537
20 3161.592618661581 -4188902.0203216365 3142.6553955043937 18.937223157187166
