degree mse r2 bias var
0 15104.189398114424 -35189.36732454745 15102.332235624697 1.857162489726492
1 10567.039995842344 -8500279.788111715 10563.58595972776 3.4540361145825766
2 8649.715903295764 -3838037.653840901 8641.357167644512 8.358735651249951
3 6357.996599413197 -4733872.960472819 6348.294217667609 9.702381745588937
4 5114.885845676692 -4163297.305000759 5104.09801059054 10.787835086152866
5 4241.47228909002 -4761089.741785679 4229.614516393886 11.85777269613424
6 3726.22252834019 -6561832.561813175 3711.5934678699555 14.629060470234675
7 3467.028373428498 -5979357.039769591 3449.41355335804 17.614820070457856
8 3393.080919568794 -6352840.741283174 3373.0083961723303 20.07252339646358
9 3019.635068465529 -4250515.103373396 2997.5636733008346 22.071395164694195
10 2942.2096014422455 -4105167.7504108343 2918.5733351733415 23.63626626890409
11 2736.1975209959937 -3433901.761606115 2714.608778504109 21.58874249188475
12 2562.6861943758245 -2996001.531389458 2542.3408087653656 20.345385610459555
13 2479.897597181428 -3007686.8591149375 2459.373689938036 20.523907243391957
14 2416.3489162301767 -3030928.6957353298 2395.204096059877 21.144820170299784
15 2360.856050984023 -2923272.9366808315 2339.9187090003943 20.93734198362921
16 2323.1808205634356 -2741303.474377202 2301.923732174967 21.257088388468567
17 2287.6708277294842 -2615914.275635754 2265.34940409533 22.321423634153682
18 2243.1984236480475 -2667070.050820597 2222.4160982859053 20.782325362142203
19 2186.86883729657 -2763558.1212397083 2166.9647439031132 19.90409339345659
20 2136.6256664803313 -2959482.8731789975 2116.186606147422 20.43906033290936
