degree mse r2 bias var
0 15104.27532307601 -35370.49101507747 15102.154158104166 2.121164971847329
1 10566.243517816947 -8477346.849438798 10562.055950972943 4.187566844005073
2 8648.862084699844 -3836275.238657998 8640.860548965324 8.001535734518548
3 6360.490942155167 -4691565.854596684 6351.379209789839 9.111732365328852
4 5223.6844186012495 -3239100.2297866396 5214.731809178547 8.95260942270251
5 5047.78759327229 -3631842.3048864603 5038.066098426526 9.721494845763374
6 4741.216018806416 -3682624.239739451 4731.770369072512 9.445649733904524
7 4480.132058591902 -4173958.5651853713 4470.739549135416 9.392509456486131
8 4344.69267565998 -4736600.795751739 4335.460950446205 9.231725213775025
9 4289.338293595133 -5197633.285461784 4279.246893311823 10.091400283309344
10 4256.092506416191 -5420583.51735127 4245.554664787167 10.53784162902359
11 4210.421093921589 -5506342.715474173 4199.835951994848 10.585141926740725
12 4151.364998050476 -5427338.089830588 4140.613395324323 10.75160272615137
13 4081.1879620810746 -5260422.839021084 4070.7769663280787 10.410995752995996
14 4009.694409210669 -4968991.6024503 3998.993952564684 10.700456645984554
15 3945.29224304377 -4623702.551246085 3934.9359527513902 10.356290292380045
16 3901.834716786087 -4377023.941960244 3891.480004563703 10.35471222238451
17 3867.099404478858 -4134995.750039473 3856.7467762911815 10.352628187676364
18 3849.6578431493167 -3960971.5588949416 3838.987954262641 10.669888886675924
19 3841.1162393428863 -3880333.763458794 3830.1569633717177 10.959275971168772
20 3839.7579120122464 -3808622.4867209406 3829.18954505779 10.56836695445706
