degree mse r2 bias var
0 15103.664006814237 -34101.65446170773 15101.653667001281 2.0103398129553005
1 10566.63312897093 -8471219.7997059 10562.248898963551 4.384230007378186
2 8650.831570149541 -3838424.811627511 8642.101618896591 8.729951252951
3 6357.772886326414 -4725598.922509793 6348.120827175401 9.65205915101142
4 5114.148539916116 -4124155.910047908 5103.575314982788 10.57322493332782
5 4253.641307350568 -4547639.901127003 4242.365701685841 11.275605664727586
6 3989.4287287651105 -5688375.010429972 3977.6603475737793 11.768381191330816
7 3834.0713943255346 -5981558.042352167 3821.3181248987776 12.753269426756873
8 3780.4386823677705 -6050903.5037400015 3767.1230230727797 13.315659294990855
9 3692.636464207228 -5890467.453799411 3679.2383419332205 13.398122274008259
10 3568.085085863554 -5557173.220645699 3555.0014787111777 13.083607152376425
11 3476.8397230816095 -5308168.85829977 3463.567911118291 13.271811963318333
12 3433.878109045155 -5148232.780094165 3420.131592937114 13.746516108040975
13 3417.206998898241 -4939454.904072649 3403.686006057432 13.520992840808928
14 3413.170683092544 -4841323.354958813 3399.1346325439795 14.036050548564145
15 3404.474166817898 -4736324.196624649 3389.8205474162705 14.653619401627891
16 3388.0067906624427 -4650127.948475955 3373.067259531836 14.93953113060595
17 3367.182528975344 -4566472.40722571 3351.9086045290533 15.273924446291433
18 3346.8606603136996 -4569176.917674755 3331.545489278209 15.31517103549046
19 3327.674660192704 -4529129.694844852 3312.357765292653 15.31689490005067
20 3309.7083353076896 -4478494.516006535 3294.5486688524156 15.159666455274014
