accuracy,learning_rate_init,minibatch_size,AUC
0.8154960981047937,0.01,10.0,0.7427255336930956
0.8149386845039019,0.01,16.0,0.7395564037504492
0.8169825343738387,0.01,26.0,0.7472806726714797
0.8173541434410999,0.01,43.0,0.7478027648306287
0.8192121887774062,0.01,71.0,0.754932689602333
0.8166109253065775,0.01,117.0,0.7451379466304839
0.8175399479747306,0.01,193.0,0.7482600114116702
0.8164251207729468,0.01,316.0,0.7454111553987154
0.8175399479747306,0.01,517.0,0.7482600114116702
0.8180973615756224,0.01,848.0,0.7500546342651404
0.8173541434410999,0.01,1389.0,0.7478027648306287
0.8179115570419918,0.01,2275.0,0.7491780634860611
0.8175399479747306,0.01,3727.0,0.7482600114116702
0.8175399479747306,0.01,6105.0,0.7482600114116702
0.8175399479747306,0.01,10000.0,0.7482600114116702
0.8192121887774062,0.015085907086001785,10.0,0.754932689602333
0.8180973615756224,0.015085907086001785,16.0,0.750195678879682
0.8184689706428837,0.015085907086001785,26.0,0.7493547090531801
0.8195837978446674,0.015085907086001785,43.0,0.7530735386770674
0.8180973615756224,0.015085907086001785,71.0,0.7489699899923319
0.8193979933110368,0.015085907086001785,117.0,0.753498567403374
0.8180973615756224,0.015085907086001785,193.0,0.749233994540407
0.8190263842437755,0.015085907086001785,316.0,0.7522522868193259
0.8193979933110368,0.015085907086001785,517.0,0.753498567403374
0.8190263842437755,0.015085907086001785,848.0,0.7521060318731669
0.8193979933110368,0.015085907086001785,1389.0,0.7531959117889295
0.8190263842437755,0.015085907086001785,2275.0,0.7521060318731669
0.8190263842437755,0.015085907086001785,3727.0,0.7521060318731669
0.8190263842437755,0.015085907086001785,6105.0,0.7521060318731669
0.8192121887774062,0.015085907086001785,10000.0,0.7527234769966773
0.8177257525083612,0.022758459260747887,10.0,0.7479368903076328
0.8190263842437755,0.022758459260747887,16.0,0.7521060318731669
0.8193979933110368,0.022758459260747887,26.0,0.7526060841263066
0.8190263842437755,0.022758459260747887,43.0,0.7531569753380571
0.8179115570419918,0.022758459260747887,71.0,0.748777629400882
0.8182831661092531,0.022758459260747887,117.0,0.7499632360664692
0.8190263842437755,0.022758459260747887,193.0,0.7525486361016157
0.8186547751765143,0.022758459260747887,316.0,0.7504731503857236
0.8184689706428837,0.022758459260747887,517.0,0.750704503924475
0.8184689706428837,0.022758459260747887,848.0,0.7512785350936299
0.8182831661092531,0.022758459260747887,1389.0,0.7505212075525035
0.8184689706428837,0.022758459260747887,2275.0,0.750704503924475
0.8184689706428837,0.022758459260747887,3727.0,0.750846132555816
0.8184689706428837,0.022758459260747887,6105.0,0.750846132555816
0.8186547751765143,0.022758459260747887,10000.0,0.7518989335774494
0.8160535117056856,0.034333200182819934,10.0,0.7416611242607407
0.8154960981047937,0.034333200182819934,16.0,0.740701088276197
0.8162393162393162,0.034333200182819934,26.0,0.7471862399439001
0.8179115570419918,0.034333200182819934,43.0,0.7511935052093383
0.8166109253065775,0.034333200182819934,71.0,0.7468886411024386
0.8171683389074693,0.034333200182819934,117.0,0.7498718669500335
0.8169825343738387,0.034333200182819934,193.0,0.7489446520979143
0.8169825343738387,0.034333200182819934,316.0,0.748799111751758
0.8173541434410999,0.034333200182819934,517.0,0.7499017639136174
0.8169825343738387,0.034333200182819934,848.0,0.7490914855735226
0.8169825343738387,0.034333200182819934,1389.0,0.7490914855735226
0.8169825343738387,0.034333200182819934,2275.0,0.7489446520979143
0.8167967298402081,0.034333200182819934,3727.0,0.7484680247420304
0.8167967298402081,0.034333200182819934,6105.0,0.7484680247420304
0.8167967298402081,0.034333200182819934,10000.0,0.7486132497654164
0.8186547751765143,0.05179474679231213,10.0,0.7457942292863929
0.8167967298402081,0.05179474679231213,16.0,0.756235943432476
0.8147528799702712,0.05179474679231213,26.0,0.752596551203959
0.813452248234857,0.05179474679231213,43.0,0.743397079927622
0.8145670754366406,0.05179474679231213,71.0,0.7427213149978512
0.8151244890375325,0.05179474679231213,117.0,0.7450400938730491
0.8136380527684876,0.05179474679231213,193.0,0.7440412646707816
0.8153102935711631,0.05179474679231213,316.0,0.7452384552792839
0.8151244890375325,0.05179474679231213,517.0,0.7450400938730491
0.8149386845039019,0.05179474679231213,848.0,0.7441634973267653
0.8149386845039019,0.05179474679231213,1389.0,0.7447035380088751
0.8149386845039019,0.05179474679231213,2275.0,0.7447035380088751
0.8151244890375325,0.05179474679231213,3727.0,0.7450400938730491
0.8149386845039019,0.05179474679231213,6105.0,0.7447035380088751
0.8147528799702712,0.05179474679231213,10000.0,0.7443663249281576
0.8132664437012264,0.07813707376518093,10.0,0.7523671022352271
0.81438127090301,0.07813707376518093,16.0,0.7391334705835995
0.8171683389074693,0.07813707376518093,26.0,0.7526539278131634
0.8156819026384243,0.07813707376518093,43.0,0.7460458476449705
0.8160535117056856,0.07813707376518093,71.0,0.7471372757090489
0.8149386845039019,0.07813707376518093,117.0,0.7442966712722727
0.8153102935711631,0.07813707376518093,193.0,0.7453759954767462
0.8156819026384243,0.07813707376518093,316.0,0.7457706632202086
0.8153102935711631,0.07813707376518093,517.0,0.7445691366839916
0.8156819026384243,0.07813707376518093,848.0,0.7467558494306036
0.8153102935711631,0.07813707376518093,1389.0,0.7453759954767462
0.8154960981047937,0.07813707376518093,2275.0,0.7457112457596087
0.8154960981047937,0.07813707376518093,3727.0,0.7459907574558042
0.8151244890375325,0.07813707376518093,6105.0,0.7446321982895864
0.8156819026384243,0.07813707376518093,10000.0,0.7460458476449705
0.8153102935711631,0.11787686347935872,10.0,0.7428498805201967
0.8154960981047937,0.11787686347935872,16.0,0.7429499089578349
0.8138238573021181,0.11787686347935872,26.0,0.7372744729824012
0.8140096618357487,0.11787686347935872,43.0,0.7435637409296435
0.8154960981047937,0.11787686347935872,71.0,0.7480941818546434
0.813452248234857,0.11787686347935872,117.0,0.742535666512575
0.8130806391675957,0.11787686347935872,193.0,0.7395443243906931
0.8125232255667039,0.11787686347935872,316.0,0.7398747832769947
0.8141954663693795,0.11787686347935872,517.0,0.7423011306219014
0.813452248234857,0.11787686347935872,848.0,0.7408247533247533
0.8138238573021181,0.11787686347935872,1389.0,0.741880224708877
0.8140096618357487,0.11787686347935872,2275.0,0.7420907705050591
0.8138238573021181,0.11787686347935872,3727.0,0.7415013137089392
0.8141954663693795,0.11787686347935872,6105.0,0.7425563314333221
0.8141954663693795,0.11787686347935872,10000.0,0.7424281424281424
0.813452248234857,0.1778279410038923,10.0,0.7413294276159083
0.8127090301003345,0.1778279410038923,16.0,0.7408814337421683
0.8166109253065775,0.1778279410038923,26.0,0.7509511707743577
0.8145670754366406,0.1778279410038923,43.0,0.7431009475348639
0.81438127090301,0.1778279410038923,71.0,0.7421396513583858
0.8147528799702712,0.1778279410038923,117.0,0.7442298155329545
0.8128948346339651,0.1778279410038923,193.0,0.7409573848977995
0.8138238573021181,0.1778279410038923,316.0,0.7410122616285233
0.8140096618357487,0.1778279410038923,517.0,0.7411096911327475
0.8140096618357487,0.1778279410038923,848.0,0.7414690641640997
0.813452248234857,0.1778279410038923,1389.0,0.7407014967959769
0.813452248234857,0.1778279410038923,2275.0,0.7402198494681916
0.813452248234857,0.1778279410038923,3727.0,0.7402198494681916
0.8136380527684876,0.1778279410038923,6105.0,0.7406757355535921
0.8136380527684876,0.1778279410038923,10000.0,0.7406757355535921
0.8169825343738387,0.2682695795279726,10.0,0.7547368317696903
0.8123374210330732,0.2682695795279726,16.0,0.7320505688001994
0.8147528799702712,0.2682695795279726,26.0,0.7449249264257946
0.8121516164994426,0.2682695795279726,43.0,0.7338700306742236
0.81438127090301,0.2682695795279726,71.0,0.7406440786889928
0.8128948346339651,0.2682695795279726,117.0,0.7393232286583786
0.8136380527684876,0.2682695795279726,193.0,0.7388993741364126
0.811965811965812,0.2682695795279726,316.0,0.73738758720813
0.8136380527684876,0.2682695795279726,517.0,0.7399777724855124
0.8132664437012264,0.2682695795279726,848.0,0.7395339543176859
0.8130806391675957,0.2682695795279726,1389.0,0.7400230587730587
0.8132664437012264,0.2682695795279726,2275.0,0.739084512865207
0.8127090301003345,0.2682695795279726,3727.0,0.7385210646924025
0.8132664437012264,0.2682695795279726,6105.0,0.7398824069430847
0.8130806391675957,0.2682695795279726,10000.0,0.7389708199407575
0.8162393162393162,0.40470899507597613,10.0,0.7435877608267979
0.8095503530286139,0.40470899507597613,16.0,0.7313702809058845
0.8147528799702712,0.40470899507597613,26.0,0.7505790692777426
0.8149386845039019,0.40470899507597613,43.0,0.7445666819045786
0.8125232255667039,0.40470899507597613,71.0,0.7404007410670568
0.8114083983649201,0.40470899507597613,117.0,0.7315958645975376
0.813452248234857,0.40470899507597613,193.0,0.7397559925211655
0.8112225938312895,0.40470899507597613,316.0,0.739627011649821
0.8128948346339651,0.40470899507597613,517.0,0.7400527846675741
0.8123374210330732,0.40470899507597613,848.0,0.7380701343330209
0.8121516164994426,0.40470899507597613,1389.0,0.7379603407863106
0.8121516164994426,0.40470899507597613,2275.0,0.7384360814984212
0.8125232255667039,0.40470899507597613,3727.0,0.7388802209087192
0.8125232255667039,0.40470899507597613,6105.0,0.7388802209087192
0.8123374210330732,0.40470899507597613,10000.0,0.7384196696696697
0.8123374210330732,0.6105402296585329,10.0,0.7473029338109691
0.813452248234857,0.6105402296585329,16.0,0.7475383077948036
0.8117800074321814,0.6105402296585329,26.0,0.7474319976012553
0.8097361575622445,0.6105402296585329,43.0,0.7376379424712054
