mse,learning_rate_init,minibatch_size
0.08467328283363645,0.0001,1.0
0.07733721752883528,0.0001,2.0
0.07550787632429887,0.0001,4.0
0.07484553060326715,0.0001,10.0
0.07452721695657849,0.0001,21.0
0.0743875455276807,0.0001,46.0
0.0743063518417543,0.0001,100.0
0.07426683593247649,0.0001,215.0
0.07424711068844445,0.0001,464.0
0.07422740358559296,0.0001,1000.0
0.06646049296091369,0.00013990503141372943,1.0
0.06319245216003008,0.00013990503141372943,2.0
0.06168019539924745,0.00013990503141372943,4.0
0.061097197400756906,0.00013990503141372943,10.0
0.060809536012801854,0.00013990503141372943,21.0
0.060685190993554204,0.00013990503141372943,46.0
0.060614191860726786,0.00013990503141372943,100.0
0.06057889953150362,0.00013990503141372943,215.0
0.06056126179472489,0.00013990503141372943,464.0
0.060543636898204946,0.00013990503141372943,1000.0
0.05372798790114834,0.00019573417814876596,1.0
0.05097907811638971,0.00019573417814876596,2.0
0.04975238869163564,0.00019573417814876596,4.0
0.04928518334889486,0.00019573417814876596,10.0
0.0490539674873935,0.00019573417814876596,21.0
0.04895516007679228,0.00019573417814876596,46.0
0.04890169372043517,0.00019573417814876596,100.0
0.048873156629836365,0.00019573417814876596,215.0
0.048859101939130366,0.00019573417814876596,464.0
0.04884506119338285,0.00019573417814876596,1000.0
0.04377398787063121,0.0002738419634264361,1.0
0.041800951480776435,0.0002738419634264361,2.0
0.04103386682287849,0.0002738419634264361,4.0
0.040741173208103235,0.0002738419634264361,10.0
0.040610348471581,0.0002738419634264361,21.0
0.04054588237460603,0.0002738419634264361,46.0
0.04051408720656841,0.0002738419634264361,100.0
0.04049261511416697,0.0002738419634264361,215.0
0.040483567567748374,0.0002738419634264361,464.0
0.04047453841601092,0.0002738419634264361,1000.0
0.03742908817005157,0.0003831186849557289,1.0
0.036496575478609516,0.0003831186849557289,2.0
0.03613768165992288,0.0003831186849557289,4.0
0.035983715811821124,0.0003831186849557289,10.0
0.03590868392520822,0.0003831186849557289,21.0
0.03588004144185308,0.0003831186849557289,46.0
0.035862330709084025,0.0003831186849557289,100.0
0.03585521856614993,0.0003831186849557289,215.0
0.03585119481882805,0.0003831186849557289,464.0
0.035847176087166956,0.0003831186849557289,1000.0
0.03452197305917554,0.0005360023165391796,1.0
0.034148755786279995,0.0005360023165391796,2.0
0.033973757289212314,0.0005360023165391796,4.0
0.03391204161314727,0.0005360023165391796,10.0
0.03385254251704029,0.0005360023165391796,21.0
0.03384856668097299,0.0005360023165391796,46.0
0.03384528694455867,0.0005360023165391796,100.0
0.033843594447357975,0.0005360023165391796,215.0
0.033842493925453514,0.0005360023165391796,464.0
0.03384135718111889,0.0005360023165391796,1000.0
0.03308305253890614,0.0007498942093324559,1.0
0.03306726714550936,0.0007498942093324559,2.0
0.03282318741051658,0.0007498942093324559,4.0
0.032845567356373784,0.0007498942093324559,10.0
0.032819113585862564,0.0007498942093324559,21.0
0.0328190263150741,0.0007498942093324559,46.0
0.032844793673896346,0.0007498942093324559,100.0
0.032830468071452415,0.0007498942093324559,215.0
0.032828333692270985,0.0007498942093324559,464.0
0.03282626325238998,0.0007498942093324559,1000.0
0.03166336484448404,0.0010491397291363103,1.0
0.03233565368960577,0.0010491397291363103,2.0
0.03199866448775672,0.0010491397291363103,4.0
0.031933547341924495,0.0010491397291363103,10.0
0.03195370009181637,0.0010491397291363103,21.0
0.03192705704109973,0.0010491397291363103,46.0
0.03195856234378215,0.0010491397291363103,100.0
0.0319543998214293,0.0010491397291363103,215.0
0.031948441926616736,0.0010491397291363103,464.0
0.03194297541859869,0.0010491397291363103,1000.0
0.03129645635156527,0.0014677992676220704,1.0
0.030744162334707458,0.0014677992676220704,2.0
0.03109619840629807,0.0014677992676220704,4.0
0.030977305869841248,0.0014677992676220704,10.0
0.030933258422740507,0.0014677992676220704,21.0
0.030948771880120234,0.0014677992676220704,46.0
0.03103638795774626,0.0014677992676220704,100.0
0.031006618814270182,0.0014677992676220704,215.0
0.03099807342493801,0.0014677992676220704,464.0
0.03099056424171661,0.0014677992676220704,1000.0
0.030659183585128334,0.002053525026457146,1.0
0.0299083466156069,0.002053525026457146,2.0
0.02969503274610045,0.002053525026457146,4.0
0.02973519150903161,0.002053525026457146,10.0
0.02965281693228049,0.002053525026457146,21.0
0.029714627396911653,0.002053525026457146,46.0
0.029741671817978356,0.002053525026457146,100.0
0.029717963457490004,0.002053525026457146,215.0
0.029717831318696125,0.002053525026457146,464.0
0.029717355703580483,0.002053525026457146,1000.0
0.029502964153175493,0.0028729848333536655,1.0
0.029106586170838493,0.0028729848333536655,2.0
0.027940223216420628,0.0028729848333536655,4.0
0.02803404206787504,0.0028729848333536655,10.0
0.028032887516980735,0.0028729848333536655,21.0
0.028015887168575428,0.0028729848333536655,46.0
0.027991582749685207,0.0028729848333536655,100.0
0.02800627223843617,0.0028729848333536655,215.0
0.02800776112267399,0.0028729848333536655,464.0
0.02800770651221445,0.0028729848333536655,1000.0
0.026606761231314648,0.004019450333615128,1.0
0.02590671215788885,0.004019450333615128,2.0
0.025585346339061822,0.004019450333615128,4.0
0.025780971235735396,0.004019450333615128,10.0
0.0256597969155666,0.004019450333615128,21.0
0.025649613988994686,0.004019450333615128,46.0
0.02561994973287531,0.004019450333615128,100.0
0.02562737318871085,0.004019450333615128,215.0
0.02562442589412639,0.004019450333615128,464.0
0.02562147134300353,0.004019450333615128,1000.0
0.024637021210785245,0.005623413251903491,1.0
0.024376473457829773,0.005623413251903491,2.0
0.024189779572502595,0.005623413251903491,4.0
0.02412414269144388,0.005623413251903491,10.0
0.023826286342211678,0.005623413251903491,21.0
0.02376825809812664,0.005623413251903491,46.0
0.023724591675509738,0.005623413251903491,100.0
0.02374056333069475,0.005623413251903491,215.0
0.023741659895660357,0.005623413251903491,464.0
0.023741017657207965,0.005623413251903491,1000.0
0.02327287659409214,0.007867438076599401,1.0
0.022287375119580868,0.007867438076599401,2.0
0.022518877473700773,0.007867438076599401,4.0
0.02223590780489263,0.007867438076599401,10.0
0.021824399158418932,0.007867438076599401,21.0
0.021902134666869966,0.007867438076599401,46.0
0.02202611847217333,0.007867438076599401,100.0
0.021880307409091304,0.007867438076599401,215.0
0.02188308835231708,0.007867438076599401,464.0
0.021882174622893952,0.007867438076599401,1000.0
0.02142330765110308,0.011006941712522103,1.0
0.01989851034918092,0.011006941712522103,2.0
0.0201243486762058,0.011006941712522103,4.0
0.019716031535033124,0.011006941712522103,10.0
0.019613897886917014,0.011006941712522103,21.0
0.019578978923882644,0.011006941712522103,46.0
0.01949469844362543,0.011006941712522103,100.0
0.01954730175246672,0.011006941712522103,215.0
0.019546189142243636,0.011006941712522103,464.0
0.019543097821280987,0.011006941712522103,1000.0
0.019390282455440895,0.01539926526059492,1.0
0.018797672792265876,0.01539926526059492,2.0
0.018437598651030306,0.01539926526059492,4.0
0.01731524432001617,0.01539926526059492,10.0
0.017407005119364903,0.01539926526059492,21.0
0.017258748853763696,0.01539926526059492,46.0
0.01722532630606266,0.01539926526059492,100.0
0.017246775479102194,0.01539926526059492,215.0
0.017271103457825975,0.01539926526059492,464.0
0.01727132599812361,0.01539926526059492,1000.0
0.016223444183964115,0.021544346900318846,1.0
0.016413036492962066,0.021544346900318846,2.0
0.0179083828197182,0.021544346900318846,4.0
0.01585632202007376,0.021544346900318846,10.0
0.016290278491272833,0.021544346900318846,21.0
0.015962320137694906,0.021544346900318846,46.0
0.015888262510943264,0.021544346900318846,100.0
0.01590125110082166,0.021544346900318846,215.0
0.015894841505283513,0.021544346900318846,464.0
0.01589381099760278,0.021544346900318846,1000.0
0.0192492347613077,0.03014162529877392,1.0
0.017308833742230818,0.03014162529877392,2.0
0.016594801143438427,0.03014162529877392,4.0
0.015356047567186105,0.03014162529877392,10.0
0.015177674488501602,0.03014162529877392,21.0
0.0153583197876549,0.03014162529877392,46.0
0.015374237952737966,0.03014162529877392,100.0
0.015330262731927734,0.03014162529877392,215.0
0.0153288366887775,0.03014162529877392,464.0
0.015328761414722414,0.03014162529877392,1000.0
0.017776724967753513,0.042169650342858224,1.0
0.020156857495781937,0.042169650342858224,2.0
0.01571104869253854,0.042169650342858224,4.0
0.014856463794981345,0.042169650342858224,10.0
0.014924630164510918,0.042169650342858224,21.0
0.015011687235119298,0.042169650342858224,46.0
0.014971885414387764,0.042169650342858224,100.0
0.015098949269026182,0.042169650342858224,215.0
0.01497076015280118,0.042169650342858224,464.0
0.014962657586751329,0.042169650342858224,1000.0
0.016616426022690055,0.05899746255923566,1.0
0.01958173820016594,0.05899746255923566,2.0
0.014969991287449847,0.05899746255923566,4.0
0.016266203032971705,0.05899746255923566,10.0
0.015276781817245802,0.05899746255923566,21.0
0.01467335970464408,0.05899746255923566,46.0
0.01451312719627688,0.05899746255923566,100.0
0.014600498531747271,0.05899746255923566,215.0
0.014660563824852407,0.05899746255923566,464.0
0.014661608349744348,0.05899746255923566,1000.0
0.022487649531510064,0.0825404185268019,1.0
0.014762420487629841,0.0825404185268019,2.0
0.016698412406258814,0.0825404185268019,4.0
0.015715584895726248,0.0825404185268019,10.0
0.014359800143528065,0.0825404185268019,21.0
0.014298862253465303,0.0825404185268019,46.0
0.014993257862392667,0.0825404185268019,100.0
0.01442290698910994,0.0825404185268019,215.0
0.014453888594526546,0.0825404185268019,464.0
0.014445603972598642,0.0825404185268019,1000.0
0.015353827996493197,0.11547819846894582,1.0
0.015078948747913299,0.11547819846894582,2.0
0.01656885667364155,0.11547819846894582,4.0
0.014229795653937224,0.11547819846894582,10.0
0.013940291938045996,0.11547819846894582,21.0
0.013838467536172688,0.11547819846894582,46.0
0.013848040155827907,0.11547819846894582,100.0
0.014044902121882868,0.11547819846894582,215.0
0.013897512166252981,0.11547819846894582,464.0
0.013894009430973468,0.11547819846894582,1000.0
0.014683409427135414,0.16155980984398746,1.0
0.013339855041903676,0.16155980984398746,2.0
0.012750394858236197,0.16155980984398746,4.0
0.013249623984240583,0.16155980984398746,10.0
0.012768117522510702,0.16155980984398746,21.0
0.012669346482104809,0.16155980984398746,46.0
0.012972107868251839,0.16155980984398746,100.0
0.012941949916321135,0.16155980984398746,215.0
0.012804223579555605,0.16155980984398746,464.0
0.012794951510697452,0.16155980984398746,1000.0
0.015945432699336032,0.22603030271419217,1.0
0.01305495890609551,0.22603030271419217,2.0
0.014443517125280487,0.22603030271419217,4.0
0.01237449303458829,0.22603030271419217,10.0
0.013279901800982328,0.22603030271419217,21.0
0.012374326850483995,0.22603030271419217,46.0
0.012306617525743085,0.22603030271419217,100.0
0.012251918356346966,0.22603030271419217,215.0
0.012271021584476948,0.22603030271419217,464.0
0.012262956569851732,0.22603030271419217,1000.0
0.017650706121192652,0.31622776601683794,1.0
0.013036072622829636,0.31622776601683794,2.0
0.013462750858989047,0.31622776601683794,4.0
0.013679397808022048,0.31622776601683794,10.0
0.013006500217159095,0.31622776601683794,21.0
0.012621002194900671,0.31622776601683794,46.0
0.012201414639144575,0.31622776601683794,100.0
0.012238781655690367,0.31622776601683794,215.0
0.012272104538164142,0.31622776601683794,464.0
0.01226454627960851,0.31622776601683794,1000.0
