mse,learning_rate_init,minibatch_size,r2
0.026190672809770766,0.0001,1.0,0.7273202042087166
0.03558996752249513,0.0001,2.0,0.6294610242837315
0.0302698709869114,0.0001,4.0,0.6848503167791764
0.03744112785795313,0.0001,10.0,0.6101879790314806
0.08947793701575278,0.0001,21.0,0.06841547101537249
0.0811175198339462,0.0001,46.0,0.15545855182597612
0.12755433993274143,0.0001,100.0,-0.32801060964635487
0.14425079161105842,0.0001,215.0,-0.5018429150304315
0.28667075896640115,0.0001,464.0,-1.9846245104909421
0.27477811404017227,0.0001,1000.0,-1.860806233142506
0.029556543172436296,0.0001467799267622069,1.0,0.6922770096402605
0.02448530499182734,0.0001467799267622069,2.0,0.7450753551253573
0.04497529450571966,0.0001467799267622069,4.0,0.5317472670309836
0.09017993624032325,0.0001467799267622069,10.0,0.06110672386741445
0.0510411352051644,0.0001467799267622069,21.0,0.46859378429151044
0.2754632696068973,0.0001467799267622069,46.0,-1.867939615372769
0.16848435500537096,0.0001467799267622069,100.0,-0.7541465944987598
0.2812144957915358,0.0001467799267622069,215.0,-1.9278175418761174
0.2726752069622512,0.0001467799267622069,464.0,-1.8389121689181755
0.22269429974090596,0.0001467799267622069,1000.0,-1.3185443389823548
0.027119637712363753,0.00021544346900318845,1.0,0.7176484419834321
0.029113010321095274,0.00021544346900318845,2.0,0.6968947775078074
0.029389239486734824,0.00021544346900318845,4.0,0.6940188638943897
0.03165640418015311,0.00021544346900318845,10.0,0.6704146590648035
0.06348291764391094,0.00021544346900318845,21.0,0.33905825386362
0.13924928862707225,0.00021544346900318845,46.0,-0.449770605845077
0.05893669739396801,0.00021544346900318845,100.0,0.3863904632490225
0.16829238122256912,0.00021544346900318845,215.0,-0.7521478916677218
2.6022156261000915,0.00021544346900318845,464.0,-26.092531401680713
0.2733111093820397,0.00021544346900318845,1000.0,-1.8455327602726066
0.023628446337545805,0.00031622776601683794,1.0,0.7539963952440487
0.023380283488639946,0.00031622776601683794,2.0,0.7565801011096494
0.02922297725860946,0.00031622776601683794,4.0,0.6957498751876969
0.03059583779218561,0.00031622776601683794,10.0,0.6814565680754872
0.049020530505864066,0.00031622776601683794,21.0,0.48963097110919973
0.09930642792540675,0.00031622776601683794,46.0,-0.033912213105102396
0.14574988804486877,0.00031622776601683794,100.0,-0.517450506038569
0.1350111251518223,0.00031622776601683794,215.0,-0.4056456778848412
0.2809933520297853,0.00031622776601683794,464.0,-1.9255151407032796
0.18546298926593816,0.00031622776601683794,1000.0,-0.9309167964944556
0.023930738961214993,0.00046415888336127773,1.0,0.7508491263101794
0.022791076028985984,0.00046415888336127773,2.0,0.7627145357209361
0.024892041600781473,0.00046415888336127773,4.0,0.7408406851618933
0.04667971305664893,0.00046415888336127773,10.0,0.5140019992485965
0.034632665201248934,0.00046415888336127773,21.0,0.6394278167889837
0.10861031566709549,0.00046415888336127773,46.0,-0.13077807935815455
0.2606823053041684,0.00046415888336127773,100.0,-1.714050085426721
0.25675949775006485,0.00046415888336127773,215.0,-1.67320843273033
0.2722624098824499,0.00046415888336127773,464.0,-1.8346144013792873
0.10565999791631997,0.00046415888336127773,1000.0,-0.10006134108861531
0.021478251027222277,0.0006812920690579609,1.0,0.776382792966205
0.02269942679654397,0.0006812920690579609,2.0,0.7636687263279598
0.027016899435074848,0.0006812920690579609,4.0,0.7187180843204032
0.02705553598486802,0.0006812920690579609,10.0,0.7183158263645193
0.05478026698135176,0.0006812920690579609,21.0,0.4296644411404976
0.035830445349967335,0.0006812920690579609,46.0,0.6269573297294249
0.08683689926439278,0.0006812920690579609,100.0,0.09591219246077398
0.12928935497749894,0.0006812920690579609,215.0,-0.3460744276908758
0.19890025174775755,0.0006812920690579609,464.0,-1.0708166003730888
0.11256299466154482,0.0006812920690579609,1000.0,-0.17193073354399302
0.02154045924434721,0.001,1.0,0.7757351225506578
0.022369421026815616,0.001,2.0,0.7671045260324219
0.02706561757746286,0.001,4.0,0.7182108635546679
0.03436033728490396,0.001,10.0,0.6422631131999073
0.035748924320359775,0.001,21.0,0.6278060722519075
0.033600959366885196,0.001,46.0,0.6501692489879316
0.11371826912213243,0.001,100.0,-0.1839586797630146
0.035780664534390175,0.001,215.0,0.6274756143387779
0.12508498933793116,0.001,464.0,-0.30230138022637765
0.09142409002152638,0.001,1000.0,0.04815342551362589
0.018418688309411936,0.0014677992676220691,1.0,0.8082369168813383
0.024858417366520214,0.0014677992676220691,2.0,0.7411907582355631
0.020428709589056036,0.0014677992676220691,4.0,0.7873099175617555
0.027392483579093175,0.0014677992676220691,10.0,0.7148077530189807
0.026252665671053547,0.0014677992676220691,21.0,0.7266747759343883
0.06682622050050338,0.0014677992676220691,46.0,0.30425001709835686
0.08241132926462437,0.0014677992676220691,100.0,0.1419882720087069
0.074787800898181,0.0014677992676220691,215.0,0.22135935855045152
0.08938303630476618,0.0014677992676220691,464.0,0.06940351384574306
0.08002390691867649,0.0014677992676220691,1000.0,0.16684451921125099
0.015535149153165506,0.002154434690031882,1.0,0.8382584010177867
0.02041066116449583,0.002154434690031882,2.0,0.7874978257059707
0.022372878608436914,0.002154434690031882,4.0,0.7670685280014711
0.02845590515838118,0.002154434690031882,10.0,0.7037361176628962
0.02831202862775988,0.002154434690031882,21.0,0.7052340640224238
0.03081206203103879,0.002154434690031882,46.0,0.6792053856899161
0.03924574731001545,0.002154434690031882,100.0,0.5913994863782581
0.08372040260917164,0.002154434690031882,215.0,0.12835907451310857
0.1951937797134534,0.002154434690031882,464.0,-1.0322272886451707
0.07521771950993725,0.002154434690031882,1000.0,0.21688333305419816
0.0159342419193124,0.0031622776601683794,1.0,0.8341033136412564
0.01813349117461833,0.0031622776601683794,2.0,0.811206199000993
0.020143028937332223,0.0031622776601683794,4.0,0.7902842337368066
0.025077129605037142,0.0031622776601683794,10.0,0.7389136724589197
0.031819105761428226,0.0031622776601683794,21.0,0.6687207188487863
0.038177573176702714,0.0031622776601683794,46.0,0.6025206021532064
0.03134535041795532,0.0031622776601683794,100.0,0.673653143122554
0.08072694483930727,0.0031622776601683794,215.0,0.15952495785352938
0.07948224263656727,0.0031622776601683794,464.0,0.17248396600613725
0.09397103763520188,0.0031622776601683794,1000.0,0.021636307750654837
0.016097483511262636,0.004641588833612777,1.0,0.8324037511946961
0.021634488666031123,0.004641588833612777,2.0,0.7747561510026807
0.0181715095256949,0.004641588833612777,4.0,0.8108103773173281
0.01950749497508673,0.004641588833612777,10.0,0.7969009889573473
0.026691133023862567,0.004641588833612777,21.0,0.722109746654938
0.029451643438605048,0.004641588833612777,46.0,0.6933691556193815
0.04054380878502954,0.004641588833612777,100.0,0.5778849371147765
0.05567180070203661,0.004641588833612777,215.0,0.42038238738559386
0.0838682854881343,0.004641588833612777,464.0,0.1268194167299942
0.07237204006791112,0.004641588833612777,1000.0,0.2465106471279953
0.012851151637224644,0.006812920690579608,1.0,0.8662023908445021
0.017021763049442813,0.006812920690579608,2.0,0.8227807698549038
0.0193462547692424,0.006812920690579608,4.0,0.7985797143082506
0.02589829204656339,0.006812920690579608,10.0,0.7303642774703605
0.027017278256141242,0.006812920690579608,21.0,0.7187141402884275
0.026459526076137087,0.006812920690579608,46.0,0.7245210835330829
0.030602586814364795,0.006812920690579608,100.0,0.6813863017633928
0.034433231139602276,0.006812920690579608,215.0,0.6415041910615586
0.03846393446369446,0.006812920690579608,464.0,0.5995391996582575
0.05238394034233301,0.006812920690579608,1000.0,0.45461339389642197
0.014513519709431882,0.01,1.0,0.8488949245662661
0.017286942114255133,0.01,2.0,0.8200199025123065
0.018683783366708326,0.01,4.0,0.8054769241688986
0.021131623439749364,0.01,10.0,0.7799916479373716
0.023950742538938252,0.01,21.0,0.750640862416835
0.027446595505972827,0.01,46.0,0.7142443757709586
0.028156705152296884,0.01,100.0,0.7068511883276476
0.03506641144866022,0.01,215.0,0.6349119405062935
0.059171178385759006,0.01,464.0,0.38394920374328523
0.031653068203944736,0.01,1000.0,0.6704493910214
0.01265143895444977,0.01467799267622069,1.0,0.8682816659342076
0.014207853410977776,0.01467799267622069,2.0,0.8520773179491368
0.018567944282361488,0.01467799267622069,4.0,0.8066829633605517
0.015723936828265853,0.01467799267622069,10.0,0.83629286981253
0.019725927471051306,0.01467799267622069,21.0,0.7946268156733536
0.02183470478192288,0.01467799267622069,46.0,0.7726716345035428
0.027170479364220047,0.01467799267622069,100.0,0.7171191126551419
0.02757664704734601,0.01467799267622069,215.0,0.7128903659674857
0.027099050010509634,0.01467799267622069,464.0,0.717862787387163
0.03911255751556354,0.01467799267622069,1000.0,0.5927861695771365
0.011304243065545252,0.021544346900318822,1.0,0.8823077699043315
0.014427375545880031,0.021544346900318822,2.0,0.8497918000721587
0.02835508330001399,0.021544346900318822,4.0,0.7047858075257931
0.01868351349258072,0.021544346900318822,10.0,0.8054797339180997
0.04752434850490931,0.021544346900318822,21.0,0.5052082189886331
0.02215554011999683,0.021544346900318822,46.0,0.7693313112096718
0.024079901306208344,0.021544346900318822,100.0,0.7492961475811504
0.031089904485073892,0.021544346900318822,215.0,0.6763126755950393
0.0318813046747321,0.021544346900318822,464.0,0.668073145298411
0.03055725107616287,0.021544346900318822,1000.0,0.6818583071954311
0.013598080202790028,0.03162277660168379,1.0,0.8584258694008429
0.017121077110251452,0.03162277660168379,2.0,0.8217467781733154
0.012043668247072288,0.03162277660168379,4.0,0.8746093686846993
0.022743255237959455,0.03162277660168379,10.0,0.7632124138635252
0.0483707904410526,0.03162277660168379,21.0,0.4963956307831623
0.016822412449947782,0.03162277660168379,46.0,0.82485627517529
0.021922146043604727,0.03162277660168379,100.0,0.7717612544780919
0.025271542175214545,0.03162277660168379,215.0,0.7368895786022909
0.02917661453152933,0.03162277660168379,464.0,0.6962325729421365
0.02570718438918814,0.03162277660168379,1000.0,0.732353962781835
0.03267506576184022,0.046415888336127774,1.0,0.659809034914085
0.015373499451420167,0.046415888336127774,2.0,0.8399413897665597
0.014919623687995135,0.046415888336127774,4.0,0.8446668411279765
0.01938192137694882,0.046415888336127774,10.0,0.7982083774061178
0.05355627870895565,0.046415888336127774,21.0,0.4424077896826314
0.022247184158026217,0.046415888336127774,46.0,0.7683771746834036
0.02886019162696085,0.046415888336127774,100.0,0.699526956924866
0.028387690102914566,0.046415888336127774,215.0,0.7044463272680344
0.028772564930380835,0.046415888336127774,464.0,0.7004392675746478
0.027782582244370226,0.046415888336127774,1000.0,0.7107463062146621
0.012222519468338624,0.06812920690579609,1.0,0.8727472892014364
0.013398606470908065,0.06812920690579609,2.0,0.8605026566934171
0.017071683630000056,0.06812920690579609,4.0,0.8222610301059099
0.017107528971098226,0.06812920690579609,10.0,0.821887832351056
0.020127237948934396,0.06812920690579609,21.0,0.7904486389631609
0.02270034879460414,0.06812920690579609,46.0,0.7636591270998455
0.02702228134856109,0.06812920690579609,100.0,0.7186620514310973
0.04469303990166705,0.06812920690579609,215.0,0.5346859134855146
0.02973185878569168,0.06812920690579609,464.0,0.6904517405466133
0.02524219490515815,0.06812920690579609,1000.0,0.737195122780714
0.01564435160564489,0.1,1.0,0.8371214580053539
0.02435017589494835,0.1,2.0,0.7464822290460867
