accuracy,learning_rate_init,minibatch_size,AUC
0.8180973615756224,0.01,1.0,0.7458346516755824
0.8214418431809736,0.01,1.0,0.7681509486802492
0.8182831661092531,0.01,2.0,0.748777613077224
0.8206986250464511,0.01,4.0,0.7628910013081674
0.8193979933110368,0.01,7.0,0.7533465860433782
0.8182831661092531,0.01,11.0,0.748777613077224
0.8188405797101449,0.01,19.0,0.753300703830214
0.819769602378298,0.01,31.0,0.7549271636675235
0.8192121887774062,0.01,51.0,0.7536377271753317
0.8190263842437755,0.01,84.0,0.7534691311984217
0.8188405797101449,0.01,138.0,0.7531428772739959
0.8190263842437755,0.01,227.0,0.7534691311984217
0.8192121887774062,0.01,372.0,0.7537947616053725
0.8192121887774062,0.01,610.0,0.7536377271753317
0.8190263842437755,0.01,1000.0,0.7533123789361502
0.8186547751765143,0.015085907086001785,1.0,0.7467788840854704
0.8167967298402081,0.015085907086001785,1.0,0.7473515589111768
0.8128948346339651,0.015085907086001785,2.0,0.7354068479041169
0.815867707172055,0.015085907086001785,4.0,0.7468029737196276
0.8160535117056856,0.015085907086001785,7.0,0.7453790895393888
0.8164251207729468,0.015085907086001785,11.0,0.7496265643424065
0.8175399479747306,0.015085907086001785,19.0,0.7519607843137255
0.8169825343738387,0.015085907086001785,31.0,0.750313971140135
0.8162393162393162,0.015085907086001785,51.0,0.7474709288933332
0.815867707172055,0.015085907086001785,84.0,0.7462412607012964
0.8160535117056856,0.015085907086001785,138.0,0.7465742461669302
0.8164251207729468,0.015085907086001785,227.0,0.7476606323763438
0.8164251207729468,0.015085907086001785,372.0,0.7473778291136519
0.8166109253065775,0.015085907086001785,610.0,0.747992675847829
0.8166109253065775,0.015085907086001785,1000.0,0.7478503231130066
0.8067632850241546,0.022758459260747887,1.0,0.7211679157053714
0.8192121887774062,0.022758459260747887,1.0,0.7534820415539919
0.8179115570419918,0.022758459260747887,2.0,0.7534713296312472
0.8151244890375325,0.022758459260747887,4.0,0.7434732963553401
0.8153102935711631,0.022758459260747887,7.0,0.7421786249572013
0.8156819026384243,0.022758459260747887,11.0,0.7443430720681905
0.8156819026384243,0.022758459260747887,19.0,0.7444670280036134
0.8149386845039019,0.022758459260747887,31.0,0.7428966828427974
0.8153102935711631,0.022758459260747887,51.0,0.744055173629473
0.8151244890375325,0.022758459260747887,84.0,0.7431077694235589
0.8147528799702712,0.022758459260747887,138.0,0.7426854279478091
0.8151244890375325,0.022758459260747887,227.0,0.7437226479397367
0.8151244890375325,0.022758459260747887,372.0,0.7437226479397367
0.8151244890375325,0.022758459260747887,610.0,0.7437226479397367
0.8151244890375325,0.022758459260747887,1000.0,0.7437226479397367
0.8112225938312895,0.034333200182819934,1.0,0.7414909320961619
0.8153102935711631,0.034333200182819934,1.0,0.7392651469897344
0.8177257525083612,0.034333200182819934,2.0,0.7592740826314309
0.8156819026384243,0.034333200182819934,4.0,0.7455003982737507
0.8164251207729468,0.034333200182819934,7.0,0.7476606323763438
0.8153102935711631,0.034333200182819934,11.0,0.7449670802734869
0.8160535117056856,0.034333200182819934,19.0,0.7468532400106571
0.8162393162393162,0.034333200182819934,31.0,0.7469065948995689
0.8145670754366406,0.034333200182819934,51.0,0.7429732368004669
0.8145670754366406,0.034333200182819934,84.0,0.7431009475348639
0.8141954663693795,0.034333200182819934,138.0,0.7423011306219014
0.81438127090301,0.034333200182819934,227.0,0.7427648671464846
0.8141954663693795,0.034333200182819934,372.0,0.7420506020845758
0.8140096618357487,0.034333200182819934,610.0,0.7417142899454288
0.8140096618357487,0.034333200182819934,1000.0,0.7417142899454288
0.8030471943515421,0.05179474679231213,1.0,0.770760143323322
0.8095503530286139,0.05179474679231213,1.0,0.7287679525463668
0.8128948346339651,0.05179474679231213,2.0,0.7354068479041169
0.8156819026384243,0.05179474679231213,4.0,0.7541484331603692
0.8112225938312895,0.05179474679231213,7.0,0.7348408890231435
0.8127090301003345,0.05179474679231213,11.0,0.7385210646924025
0.8123374210330732,0.05179474679231213,19.0,0.7385384166997139
0.8112225938312895,0.05179474679231213,31.0,0.7359025953182029
0.8099219620958752,0.05179474679231213,51.0,0.731508980544658
0.810479375696767,0.05179474679231213,84.0,0.7329895979265092
0.8112225938312895,0.05179474679231213,138.0,0.736014586014586
0.810479375696767,0.05179474679231213,227.0,0.7343029614922781
0.8112225938312895,0.05179474679231213,372.0,0.7361276678595489
0.810479375696767,0.05179474679231213,610.0,0.7343029614922781
0.810479375696767,0.05179474679231213,1000.0,0.7343029614922781
0.8190263842437755,0.07813707376518093,1.0,0.7515335812272852
0.8166109253065775,0.07813707376518093,1.0,0.7536623421559011
0.8173541434410999,0.07813707376518093,2.0,0.7448764016664274
0.81438127090301,0.07813707376518093,4.0,0.753403905630556
0.8186547751765143,0.07813707376518093,7.0,0.7546261432209351
0.8153102935711631,0.07813707376518093,11.0,0.7609557194691822
0.8166109253065775,0.07813707376518093,19.0,0.7536623421559011
0.8188405797101449,0.07813707376518093,31.0,0.7522240895460443
0.8180973615756224,0.07813707376518093,51.0,0.7569745194625677
0.8188405797101449,0.07813707376518093,84.0,0.7560201049513623
0.8186547751765143,0.07813707376518093,138.0,0.7558707446634176
0.8182831661092531,0.07813707376518093,227.0,0.7521603460905261
0.8180973615756224,0.07813707376518093,372.0,0.753804351382198
0.8180973615756224,0.07813707376518093,610.0,0.7523056603302085
0.8186547751765143,0.07813707376518093,1000.0,0.7546261432209351
0.8167967298402081,0.11787686347935872,1.0,0.7596481768693364
0.8186547751765143,0.11787686347935872,1.0,0.7813831113771261
0.8199554069119287,0.11787686347935872,2.0,0.7717862499793964
0.8193979933110368,0.11787686347935872,4.0,0.7687080979230111
0.8203270159791899,0.11787686347935872,7.0,0.7597835954482534
0.8206986250464511,0.11787686347935872,11.0,0.7606327171547511
0.8201412114455593,0.11787686347935872,19.0,0.7627715099114298
0.8190263842437755,0.11787686347935872,31.0,0.7635462328061231
0.8192121887774062,0.11787686347935872,51.0,0.759191194924154
0.8195837978446674,0.11787686347935872,84.0,0.763600084015963
0.8193979933110368,0.11787686347935872,138.0,0.7601452847016853
0.8192121887774062,0.11787686347935872,227.0,0.761321166142236
0.8195837978446674,0.11787686347935872,372.0,0.7602697961382274
0.819769602378298,0.11787686347935872,610.0,0.7623271632914311
0.8193979933110368,0.11787686347935872,1000.0,0.7599366018596787
,0.1778279410038923,1.0,
,0.1778279410038923,1.0,
,0.1778279410038923,2.0,
,0.1778279410038923,4.0,
,0.1778279410038923,7.0,
,0.1778279410038923,11.0,
,0.1778279410038923,19.0,
,0.1778279410038923,31.0,
,0.1778279410038923,51.0,
,0.1778279410038923,84.0,
,0.1778279410038923,138.0,
,0.1778279410038923,227.0,
,0.1778279410038923,372.0,
,0.1778279410038923,610.0,
,0.1778279410038923,1000.0,
,0.2682695795279726,1.0,
,0.2682695795279726,1.0,
,0.2682695795279726,2.0,
,0.2682695795279726,4.0,
,0.2682695795279726,7.0,
,0.2682695795279726,11.0,
,0.2682695795279726,19.0,
,0.2682695795279726,31.0,
,0.2682695795279726,51.0,
,0.2682695795279726,84.0,
,0.2682695795279726,138.0,
,0.2682695795279726,227.0,
,0.2682695795279726,372.0,
,0.2682695795279726,610.0,
,0.2682695795279726,1000.0,
,0.40470899507597613,1.0,
,0.40470899507597613,1.0,
,0.40470899507597613,2.0,
,0.40470899507597613,4.0,
,0.40470899507597613,7.0,
