accuracy,learning_rate_init,minibatch_size
0.7762913415087328,0.01,50.0
0.7629134150873281,0.01,89.0
0.7945001858045336,0.01,129.0
0.7881828316610925,0.01,169.0
0.7998885172798216,0.01,209.0
0.7985878855444073,0.01,248.0
0.7900408769973988,0.01,288.0
0.7853957636566332,0.01,328.0
0.7954292084726867,0.01,368.0
0.7987736900780379,0.01,408.0
0.8106651802303976,0.01,447.0
0.7976588628762542,0.01,487.0
0.8114083983649201,0.01,527.0
0.7909698996655519,0.01,567.0
0.7924563359345969,0.01,607.0
0.8062058714232627,0.01,646.0
0.8019323671497585,0.01,686.0
0.8093645484949833,0.01,726.0
0.7978446674098848,0.01,766.0
0.8039762170196952,0.01,806.0
0.8062058714232627,0.01,845.0
0.810479375696767,0.01,885.0
0.8138238573021181,0.01,925.0
0.8099219620958752,0.01,965.0
0.8075065031586771,0.01,1005.0
0.808992939427722,0.01,1044.0
0.8097361575622445,0.01,1084.0
0.8049052396878483,0.01,1124.0
0.8128948346339651,0.01,1164.0
0.808992939427722,0.01,1204.0
0.8102935711631364,0.01,1243.0
0.8076923076923077,0.01,1283.0
0.804162021553326,0.01,1323.0
0.8075065031586771,0.01,1363.0
0.8073206986250464,0.01,1403.0
0.8060200668896321,0.01,1442.0
0.806577480490524,0.01,1482.0
0.8115942028985508,0.01,1522.0
0.8082497212931996,0.01,1562.0
0.803604607952434,0.01,1602.0
0.8045336306205871,0.01,1641.0
0.8069490895577852,0.01,1681.0
0.8106651802303976,0.01,1721.0
0.8110367892976589,0.01,1761.0
0.8069490895577852,0.01,1801.0
0.8127090301003345,0.01,1840.0
0.8102935711631364,0.01,1880.0
0.8071348940914158,0.01,1920.0
0.8058342623560015,0.01,1960.0
0.8093645484949833,0.01,2000.0
0.7926421404682275,0.02,50.0
0.771832032701598,0.02,89.0
0.7976588628762542,0.02,129.0
0.8047194351542177,0.02,169.0
0.8032329988851727,0.02,209.0
0.8004459308807135,0.02,248.0
0.8015607580824972,0.02,288.0
0.802675585284281,0.02,328.0
0.8117800074321814,0.02,368.0
0.8010033444816054,0.02,408.0
0.8097361575622445,0.02,447.0
0.8101077666295058,0.02,487.0
0.8082497212931996,0.02,527.0
0.8017465626161279,0.02,567.0
0.8088071348940914,0.02,607.0
0.808992939427722,0.02,646.0
0.8115942028985508,0.02,686.0
0.805091044221479,0.02,726.0
0.8071348940914158,0.02,766.0
0.8060200668896321,0.02,806.0
0.8091787439613527,0.02,845.0
0.8045336306205871,0.02,885.0
0.8101077666295058,0.02,925.0
0.8047194351542177,0.02,965.0
0.8030471943515421,0.02,1005.0
0.8084355258268302,0.02,1044.0
0.8128948346339651,0.02,1084.0
0.8088071348940914,0.02,1124.0
0.8084355258268302,0.02,1164.0
0.8073206986250464,0.02,1204.0
0.8058342623560015,0.02,1243.0
0.8121516164994426,0.02,1283.0
0.8106651802303976,0.02,1323.0
0.8108509847640283,0.02,1363.0
0.8080639167595689,0.02,1403.0
0.8141954663693795,0.02,1442.0
0.8086213303604608,0.02,1482.0
