n_epochs,accuracy,mse,r2,bias,variance
55.0,0.7918313570487484,0.16417693412374534,0.308176341255641,0.2386058183153031,0.05909681702029582
56.0,0.7918313570487484,0.16446916082824026,0.3069449298581416,0.238631030083592,0.05890284378029689
57.0,0.7918313570487484,0.16309270293369213,0.312745173003114,0.238621463999261,0.0592611653007584
58.0,0.7918313570487484,0.16443827673434744,0.3070750720547174,0.23861124043269205,0.058834334512362585
59.0,0.7918313570487484,0.16450808935690764,0.3067808892925411,0.23864234848427998,0.0588983952926415
60.0,0.7878787878787878,0.16448930817640206,0.3068600311347388,0.23856500416661405,0.059149637549785486
61.0,0.7905138339920948,0.16384737377408354,0.3095650725539624,0.23863600480634897,0.058971017955058914
62.0,0.7905138339920948,0.16365352265017158,0.3103819400056069,0.23862979597201192,0.05883490899838533
63.0,0.7905138339920948,0.1633973194407736,0.31146155233150263,0.23862551980540325,0.05880700458694123
64.0,0.7905138339920948,0.1637697769075999,0.309892057269351,0.23864753915171588,0.05886549165181848
65.0,0.7905138339920948,0.16397230732394844,0.30903861622787265,0.23863414933661192,0.05877791758444022
66.0,0.7905138339920948,0.1640840648737624,0.3085676821260924,0.238608275778498,0.05879809104428059
67.0,0.7905138339920948,0.16362662267190822,0.3104952935743138,0.2386136030856889,0.058911782589045
68.0,0.7905138339920948,0.16399624497799825,0.3089377455696716,0.23860462670102878,0.05892074693442315
69.0,0.7918313570487484,0.1643248651782846,0.3075529759580766,0.23860330228091506,0.05884065677648011
70.0,0.7905138339920948,0.16376900406857964,0.30989531392852454,0.23863677604374123,0.05887990351203553
71.0,0.7905138339920948,0.16389456490217658,0.3093662142973391,0.2386429224278621,0.05886924196967596
72.0,0.7905138339920948,0.1637875142523571,0.3098173140369239,0.2386301467967335,0.058876500955378594
73.0,0.7918313570487484,0.16415705078507253,0.3082601274719088,0.23862411161613314,0.0590341927106688
74.0,0.7918313570487484,0.1642742595619629,0.3077662224949518,0.23861669746167452,0.0588451971841076
75.0,0.7905138339920948,0.16357628797018223,0.31070739850668905,0.23862744355433693,0.058827377576241055
76.0,0.7918313570487484,0.16409969707462704,0.30850180973997365,0.23862726044084712,0.05887847385339908
77.0,0.7918313570487484,0.16436517659966365,0.30738310803371494,0.23862811336274095,0.05891054629109206
78.0,0.7918313570487484,0.1648727028916734,0.3052444477028886,0.23858568935239263,0.059033486111269594
79.0,0.7918313570487484,0.1644252760973123,0.3071298553184423,0.23862361489324416,0.0590426030702013
80.0,0.7918313570487484,0.1642707159087143,0.3077811550624824,0.23863378873428978,0.05881933697332734
81.0,0.7918313570487484,0.16435672730257744,0.30741871244827657,0.2386339712261217,0.0590981180506903
82.0,0.7905138339920948,0.16485987221682458,0.3052985147645344,0.2385907606693241,0.05907886701394941
83.0,0.7905138339920948,0.16383153487386923,0.30963181594855205,0.23862756899103413,0.05892551994602847
84.0,0.7918313570487484,0.16437679864682034,0.3073341339970822,0.23860072953711972,0.05887419664648957
85.0,0.7905138339920948,0.16388019243869326,0.3094267782878003,0.23863230470313213,0.05899596455584971
86.0,0.7918313570487484,0.16431245497335734,0.3076052712054228,0.23862850485628756,0.058805031401804854
87.0,0.7918313570487484,0.1643026513796603,0.30764658247790155,0.23859172336009352,0.058865820344318656
88.0,0.7891963109354414,0.16485532664141017,0.3053176693225791,0.2385690247217089,0.05905111035124331
89.0,0.7918313570487484,0.16405037083137813,0.30870966513853315,0.23863809330345997,0.058860751786663834
90.0,0.7905138339920948,0.1641828851924908,0.30815126410229476,0.23858279185064382,0.05894984123361309
91.0,0.7918313570487484,0.16445599556838775,0.30700040682442853,0.23861947794467106,0.058937383557647
92.0,0.7918313570487484,0.1640900169186519,0.3085426008593819,0.23861991016774353,0.058869973780065324
93.0,0.7905138339920948,0.16474422125067548,0.305785855297269,0.2386236307601603,0.05925576180441728
94.0,0.7905138339920948,0.16397539991325993,0.3090255843944797,0.23861164569311105,0.05882257422569347
95.0,0.7918313570487484,0.16397381913489803,0.30903224562174547,0.23863732251628586,0.05884027129217328
96.0,0.7905138339920948,0.16397148980908627,0.30904206114616195,0.238616741361134,0.05875856627360473
97.0,0.7918313570487484,0.16452477747222702,0.30671056739830294,0.23862590735629557,0.05903416755954268
98.0,0.7918313570487484,0.1643194242207954,0.3075759035583351,0.23863238837645173,0.05909156888025173
99.0,0.7905138339920948,0.1637821760083471,0.3098398088138059,0.2386383260196676,0.05878115388352718
100.0,0.7905138339920948,0.16383545498905802,0.3096152970115462,0.23864041917056844,0.05885194772368521
