minibatch_size,accuracy,mse,r2,bias,variance
1.0,0.7628458498023716,0.18658629436519125,0.21374574614736508,0.24156566875611646,0.07271691251557691
2.0,0.7812911725955204,0.17771541955746742,0.2511266431564233,0.24097887640889765,0.06384431727937154
3.0,0.7483530961791831,0.18101437991303396,0.23722518473644583,0.2389491788235376,0.06977818061922304
4.0,0.7786561264822134,0.16582572424431538,0.3012285198713376,0.2385701593535216,0.0661161949445325
5.0,0.7878787878787878,0.16556448515581615,0.3023293528414329,0.23872495716943465,0.061269358038425294
6.0,0.7878787878787878,0.1685969746006208,0.2895507737188193,0.23864250924657987,0.0596204922011028
7.0,0.7891963109354414,0.16370613726464325,0.3101602277700758,0.23869393278450446,0.05887085743823205
8.0,0.7905138339920948,0.16530112728817395,0.30343911411529134,0.23860259513664334,0.05954303132903498
9.0,0.7891963109354414,0.16314730567636843,0.312515083012596,0.23863410342775468,0.06027111065141029
10.0,0.7931488801054019,0.1669379176085327,0.2965418585777112,0.23858176267379938,0.05910335884025361
11.0,0.7905138339920948,0.16434351367579994,0.3074743932274999,0.23860790042783137,0.05964870748432134
12.0,0.7905138339920948,0.16377791844155998,0.3098577497349696,0.2386246921348806,0.05865686645517715
13.0,0.7891963109354414,0.16467654798948658,0.306071023024421,0.23859446853309152,0.05919808756045425
14.0,0.7918313570487484,0.1635108272996241,0.31098324261872035,0.2386368321949042,0.059357955219126374
15.0,0.7918313570487484,0.16411811870687465,0.30842418299484275,0.2386315599383313,0.05879103027823795
16.0,0.7905138339920948,0.16292793567775235,0.31343948421347934,0.2386580597069751,0.05923647476235329
17.0,0.7931488801054019,0.16283086770064015,0.3138485180612064,0.23867270606498164,0.060242592379151166
18.0,0.7918313570487484,0.16427118864334234,0.3077791630104214,0.23860951095345076,0.0588373153218473
19.0,0.7905138339920948,0.1630009174870009,0.31313194684493484,0.23865880850657123,0.059274915141559005
20.0,0.7918313570487484,0.16424252938514114,0.30789992999252813,0.2386167961444541,0.05883914101495144
21.0,0.7905138339920948,0.16368197700042925,0.3102620364831814,0.23863890582910852,0.058811563616729914
22.0,0.7918313570487484,0.16424246859471847,0.307900186156726,0.23862529742767816,0.05884558589110794
23.0,0.7905138339920948,0.16364217837656295,0.31042974353486397,0.23862060023985893,0.058880052098317925
24.0,0.7905138339920948,0.16375789874201238,0.309942110561062,0.23863953691732448,0.05897564748699307
25.0,0.7905138339920948,0.16382874998406882,0.30964355116983144,0.23863522658732728,0.058899246693333976
26.0,0.7918313570487484,0.16430432237030962,0.3076395411059153,0.23862505750917146,0.058890940569558944
27.0,0.7918313570487484,0.1645610299523139,0.30655780340897576,0.23861690644668865,0.05903467477817748
28.0,0.7905138339920948,0.16389086722720994,0.3093817958955577,0.23862260566217083,0.05892829304821496
29.0,0.7905138339920948,0.1635663917217188,0.31074910021622804,0.23864673335900888,0.05891870375706314
30.0,0.7918313570487484,0.16266414169710625,0.3145510832198767,0.238671322382494,0.05955637875394964
31.0,0.7905138339920948,0.1636879851351255,0.3102367188601549,0.23864041032067293,0.058962022322081274
32.0,0.7905138339920948,0.1639431391953617,0.3091615275341735,0.2386460341979837,0.058896704583203306
33.0,0.7918313570487484,0.16478264357353303,0.3056239478276317,0.23859088679255816,0.05898866199338491
34.0,0.7918313570487484,0.1645629462464332,0.3065497283549743,0.23857973358765622,0.05896950284896529
35.0,0.7905138339920948,0.1638269426870917,0.3096511669217873,0.23862087728682002,0.058762871470193656
36.0,0.7918313570487484,0.16405149695481694,0.30870491977742753,0.2386330551242402,0.05881593854868688
37.0,0.7905138339920948,0.1636484454585498,0.31040333473625326,0.23862824477087527,0.05886408588879986
38.0,0.7918313570487484,0.16414002588494203,0.3083318685405364,0.2386380562123373,0.0589334895404529
39.0,0.7918313570487484,0.16399106038455774,0.308959592879845,0.2386411161216165,0.05903053728469687
40.0,0.7878787878787878,0.16586129061464008,0.30107864707356846,0.23859917241653733,0.0600965826873067
41.0,0.7918313570487484,0.164155115989306,0.3082682804898298,0.23862499462623274,0.05888240661685056
42.0,0.7905138339920948,0.16394044852946701,0.30917286570621116,0.23862068982646553,0.058794372212076014
43.0,0.7905138339920948,0.1652280825791409,0.30374691653665387,0.23861654868768303,0.059473996136425546
44.0,0.7905138339920948,0.16348371374284953,0.31109749618393323,0.2386490405269889,0.05900416236482945
45.0,0.7918313570487484,0.16399578947735197,0.3089396649996168,0.23863935162970407,0.05877712688301419
46.0,0.7905138339920948,0.16366316466740283,0.31034130959869743,0.2386381898459017,0.0588843178065902
47.0,0.7918313570487484,0.16429374986310244,0.30768409249589723,0.23860395155533093,0.05896886564467887
48.0,0.7918313570487484,0.16429339751966557,0.3076855772326351,0.23863836423299029,0.0588010797671918
49.0,0.7918313570487484,0.16429978442213852,0.3076586635235903,0.2386368980684703,0.05896044678233119
50.0,0.7918313570487484,0.1640263341266934,0.3088109531852853,0.23864108144892177,0.05890319586890015
51.0,0.7918313570487484,0.16470985408684397,0.30593067476992797,0.23857841253172127,0.05897974004280591
52.0,0.7918313570487484,0.163968142557412,0.3090561660989215,0.2386188012750926,0.05898047632177067
53.0,0.7905138339920948,0.16394255310894612,0.3091639972382797,0.23862371690217704,0.05867805518041128
54.0,0.7918313570487484,0.16470259537197424,0.30596126220113906,0.23856933886736023,0.05897091348106501
55.0,0.7918313570487484,0.16429150364656217,0.30769355780692587,0.2386418587953793,0.05875036881757615
56.0,0.7918313570487484,0.16492495543441996,0.30502426119803916,0.2385778683992845,0.059089122239106395
57.0,0.7905138339920948,0.16387416975667884,0.30945215721163566,0.23862453415559265,0.05887159675058173
58.0,0.7918313570487484,0.16418895582189783,0.30812568313338673,0.2386383816954076,0.05888890632129124
59.0,0.7918313570487484,0.1644714068656214,0.30693546530206994,0.23862197188056752,0.059046963060132386
60.0,0.7918313570487484,0.16469798280494807,0.30598069905451486,0.23858889041297865,0.05869692518903763
61.0,0.7918313570487484,0.1641652668536463,0.30822550585681074,0.23864818686313677,0.05874341559910778
62.0,0.7918313570487484,0.16417449319305402,0.30818662707082345,0.23862256784536554,0.05887879325141055
63.0,0.7918313570487484,0.16405713931173999,0.3086811435019643,0.23865201184666845,0.05875266808339818
64.0,0.7918313570487484,0.16436225531574566,0.30739541800490033,0.2385966799406174,0.05888602807618184
65.0,0.7905138339920948,0.16391788806358507,0.3092679330439754,0.23864556237895482,0.05899476028957536
66.0,0.7918313570487484,0.1641474194675805,0.30830071279128646,0.23862428123973176,0.0588445683931925
67.0,0.7918313570487484,0.16407990905920639,0.30858519427447395,0.23863289859654851,0.058928853547014604
68.0,0.7905138339920948,0.16379261514589347,0.3097958194289998,0.23863476561758268,0.058951425768131005
69.0,0.7918313570487484,0.1642290602635151,0.30795668739912196,0.2386160877548416,0.0589169064113362
70.0,0.7905138339920948,0.16376129311197427,0.3099278070569875,0.23862786931586263,0.05883214364897605
71.0,0.7918313570487484,0.16409417567660697,0.30852507630783843,0.23863747380901143,0.058494750506082084
72.0,0.7918313570487484,0.16396502215801823,0.30906931512096203,0.23862747937208176,0.05904534039003628
73.0,0.7918313570487484,0.16441267090744882,0.3071829722110013,0.2386284118352421,0.058660204547592125
74.0,0.7905138339920948,0.1639296967201476,0.3092181726556995,0.23862325869034115,0.05897479596405094
75.0,0.7918313570487484,0.1643097084866863,0.30761684460011185,0.2386561032413312,0.05847909424926666
76.0,0.7918313570487484,0.16406006548211685,0.3086688129397751,0.2386514119251146,0.05853280214544236
77.0,0.7918313570487484,0.16419145347893968,0.30811515827956226,0.23864690073910383,0.05870057303674601
78.0,0.7918313570487484,0.16417973605646366,0.308164534217368,0.23861970520468295,0.05880096825623346
79.0,0.7918313570487484,0.16408927734277115,0.30854571735132086,0.2386285048744836,0.05901849705501303
80.0,0.7918313570487484,0.16413075684636927,0.3083709272561389,0.23860669522006583,0.05878510436607903
81.0,0.7918313570487484,0.16442541709640007,0.3071292611636951,0.23860616295928863,0.05939073398704317
82.0,0.7918313570487484,0.16417385446225888,0.308189318612592,0.238640817074282,0.0587101569320189
83.0,0.7905138339920948,0.16397550285151336,0.3090251506239291,0.2386207424848407,0.05923561725915444
84.0,0.7918313570487484,0.16407692359108783,0.30859777471086636,0.23861429656658176,0.05912284933657917
85.0,0.7918313570487484,0.16416206726117843,0.30823898858981114,0.2386344004264335,0.05862417420285879
86.0,0.7905138339920948,0.16370038177295115,0.31018448078309224,0.23863407121517208,0.05935964423079494
87.0,0.7918313570487484,0.16405804779856165,0.3086773152377793,0.2386183654796558,0.05886462127920653
88.0,0.7918313570487484,0.16416172540783747,0.30824042912243144,0.23861447185859108,0.05884343974974166
89.0,0.7918313570487484,0.16420086999645675,0.3080754781038053,0.23864151595243746,0.05874415065317965
90.0,0.7918313570487484,0.16402580823489504,0.3088131692358529,0.23864888530698486,0.05858483344276677
91.0,0.7918313570487484,0.164147936891305,0.30829853242425664,0.2386390744612438,0.05862410429312212
92.0,0.7905138339920948,0.16388044441777486,0.3094257164754872,0.23863879043123723,0.05877620853348057
93.0,0.7918313570487484,0.16407516227489552,0.3086051967048199,0.2386548910449082,0.05881321212214928
94.0,0.7918313570487484,0.16406248024812603,0.3086586373797039,0.23863412695993813,0.05899722751423522
95.0,0.7918313570487484,0.16415363045893874,0.30827454035245494,0.23860733662766653,0.05886674301200686
96.0,0.7918313570487484,0.16402442372943501,0.30881900339055934,0.23863968871420418,0.058897472815013126
97.0,0.7905138339920948,0.16392765917385546,0.30922675865310656,0.23861859406889915,0.058915482763442745
98.0,0.7918313570487484,0.16411564202138307,0.30843461947684614,0.23862766948331018,0.05845361252807965
99.0,0.7918313570487484,0.16414275705307008,0.3083203596965134,0.23861557472914768,0.059170164457695996
100.0,0.7918313570487484,0.16426733345010106,0.30779540837343533,0.23864347653508952,0.05858031584842852
