accuracy,learning_rate_init,minibatch_size,AUC
0.591044221479004,0.0005,50.0,0.5398670829699519
0.40393905611296915,0.0005,55.0,0.48633737309080993
0.37606837606837606,0.0005,65.0,0.4760139152231899
0.6350798959494611,0.0005,80.0,0.5496486907549091
0.490709773318469,0.0005,90.0,0.4822968483944934
0.6133407655146785,0.0005,110.0,0.5542252676260949
0.39316239316239315,0.0005,125.0,0.43973383499445406
0.5635451505016722,0.0005,150.0,0.5477317554240632
0.5449646971386102,0.0005,175.0,0.5296975431851116
0.3558156819026384,0.0005,205.0,0.4218560129286902
0.5193236714975845,0.0005,240.0,0.5254801094408709
0.4821627647714604,0.0005,285.0,0.5621775176367599
0.4384986993682646,0.0005,335.0,0.5412565574319246
0.5299145299145299,0.0005,390.0,0.4976272203068611
0.6367521367521367,0.0005,460.0,0.5372994580088021
0.5620587142326273,0.0005,540.0,0.5484577820385477
0.7053140096618358,0.0005,630.0,0.5328751708062053
0.6583054626532887,0.0005,740.0,0.5683693522924312
0.6947231512448904,0.0005,870.0,0.5909469509681853
0.6324786324786325,0.0005,1020.0,0.5315374879420962
0.549424005945745,0.0005,1195.0,0.48889314933057515
0.6133407655146785,0.0005,1400.0,0.5540286242343705
0.7068004459308808,0.0005,1645.0,0.6091891623713775
0.7068004459308808,0.0005,1925.0,0.5830667957405614
0.7655146785581568,0.0005,2260.0,0.6483765549230445
0.7400594574507618,0.0005,2645.0,0.6242654340031053
0.7642140468227425,0.0005,3105.0,0.6429272762724784
0.7842809364548495,0.0005,3635.0,0.6838953647676287
0.7805648457822371,0.0005,4265.0,0.6681262232150493
0.7729468599033816,0.0005,5000.0,0.6676229857877671
0.6289483463396507,0.0006344805015839611,50.0,0.523930763308322
0.47157190635451507,0.0006344805015839611,55.0,0.5005561767879765
0.5776662950575994,0.0006344805015839611,65.0,0.5320918673018387
0.6111111111111112,0.0006344805015839611,80.0,0.5117222298874592
0.572463768115942,0.0006344805015839611,90.0,0.5257165161463867
0.5934596804162021,0.0006344805015839611,110.0,0.532166073945078
0.2768487551096247,0.0006344805015839611,125.0,0.4333352154898056
0.6228167967298402,0.0006344805015839611,150.0,0.5627539980636657
0.5507246376811594,0.0006344805015839611,175.0,0.48014580832037973
0.614083983649201,0.0006344805015839611,205.0,0.54447900452713
0.5784095131921219,0.0006344805015839611,240.0,0.5538677196776082
0.42939427722036416,0.0006344805015839611,285.0,0.46041371742742054
0.5813823857302118,0.0006344805015839611,335.0,0.5520961004955551
0.5899293942772204,0.0006344805015839611,390.0,0.5354817872890163
0.6599777034559643,0.0006344805015839611,460.0,0.588640911009332
0.7443329617242661,0.0006344805015839611,540.0,0.6187218230487461
0.6545893719806763,0.0006344805015839611,630.0,0.5577544865981309
0.5765514678558157,0.0006344805015839611,740.0,0.5309443788630724
0.6099962839093274,0.0006344805015839611,870.0,0.5959204395641523
0.5668896321070234,0.0006344805015839611,1020.0,0.5191477135998319
0.7198067632850241,0.0006344805015839611,1195.0,0.6000777448376958
0.7335562987736901,0.0006344805015839611,1400.0,0.6191998513534658
0.7045707915273133,0.0006344805015839611,1645.0,0.6114512884015477
0.732627276105537,0.0006344805015839611,1925.0,0.6351398167260763
0.7471200297287254,0.0006344805015839611,2260.0,0.6279829986924226
0.725752508361204,0.0006344805015839611,2645.0,0.6012965425531914
0.7655146785581568,0.0006344805015839611,3105.0,0.658148125936525
0.7651430694908956,0.0006344805015839611,3635.0,0.6526419804451841
0.7803790412486065,0.0006344805015839611,4265.0,0.6768753104818679
0.7883686361947232,0.0006344805015839611,5000.0,0.6867604032085782
0.7250092902266815,0.0008051310137804697,50.0,0.6348434638961866
0.41620215533259014,0.0008051310137804697,55.0,0.46370963144055405
0.48420661464139725,0.0008051310137804697,65.0,0.5091636092064638
0.5362318840579711,0.0008051310137804697,80.0,0.47019635282156746
0.5596432552954292,0.0008051310137804697,90.0,0.4817467627604335
0.6767001114827201,0.0008051310137804697,110.0,0.5998640113107274
0.5800817539947974,0.0008051310137804697,125.0,0.5832670857894184
0.44555927164622816,0.0008051310137804697,150.0,0.4501531606794765
0.6921218877740617,0.0008051310137804697,175.0,0.5445249534904253
0.6179858788554441,0.0008051310137804697,205.0,0.5075052882072977
0.5113340765514679,0.0008051310137804697,240.0,0.5175892817667345
0.5839836492010405,0.0008051310137804697,285.0,0.524553414974887
0.6670382757339279,0.0008051310137804697,335.0,0.5932839687994327
0.6924934968413229,0.0008051310137804697,390.0,0.570885913468917
0.7400594574507618,0.0008051310137804697,460.0,0.6345465476739831
0.6112969156447418,0.0008051310137804697,540.0,0.5495996108585652
0.7547380156075808,0.0008051310137804697,630.0,0.6410490425678468
0.7153474544778893,0.0008051310137804697,740.0,0.5991495349975526
0.6915644741731698,0.0008051310137804697,870.0,0.5753594428364688
0.721850613154961,0.0008051310137804697,1020.0,0.6178014044911323
0.7538089929394277,0.0008051310137804697,1195.0,0.6458772022346297
0.7736900780379041,0.0008051310137804697,1400.0,0.6552764051006787
0.7344853214418432,0.0008051310137804697,1645.0,0.6176658575607104
0.7749907097733185,0.0008051310137804697,1925.0,0.6740066761989766
0.7748049052396878,0.0008051310137804697,2260.0,0.6572326874194409
0.7612411742846525,0.0008051310137804697,2645.0,0.6410019663723315
0.759568933481977,0.0008051310137804697,3105.0,0.6298530390307427
0.7974730583426236,0.0008051310137804697,3635.0,0.706146126573929
0.756596060943887,0.0008051310137804697,4265.0,0.6330127364784162
0.7837235228539576,0.0008051310137804697,5000.0,0.6776184267709691
0.6185432924563359,0.0010216798589284708,50.0,0.5579488480504398
0.6833890746934225,0.0010216798589284708,55.0,0.5602335920594947
0.4782608695652174,0.0010216798589284708,65.0,0.49288342718880074
0.6590486807878112,0.0010216798589284708,80.0,0.5481791006215685
0.462281679672984,0.0010216798589284708,90.0,0.46442983328361664
0.3927907840951319,0.0010216798589284708,110.0,0.5520816314377461
0.7385730211817169,0.0010216798589284708,125.0,0.6193545657082873
0.49516908212560384,0.0010216798589284708,150.0,0.48963551477399175
0.5743218134522482,0.0010216798589284708,175.0,0.539747049933702
0.48773690078037907,0.0010216798589284708,205.0,0.5147040843114098
