learning_rate_init,accuracy,mse,r2,bias,variance
0.01,0.7757339279078409,0.18766947755322574,-0.0781064711392272,0.1785132921535902,0.05995986938691825
0.06040404040404041,0.7915273132664437,0.15726319952809467,0.09656873726196358,0.1740791041934117,0.03189394692476682
0.11080808080808081,0.795800817539948,0.1557479694476024,0.10527329261290064,0.17408316030934134,0.03788443319569641
0.16121212121212125,0.7959866220735786,0.14888190889206618,0.14471681008130732,0.17412820717900304,0.029363392020436155
0.21161616161616165,0.8060200668896321,0.1465787586353501,0.1579477372845195,0.17412527070462586,0.030164887540379746
0.26202020202020204,0.8045336306205871,0.1466653439580794,0.157450329832028,0.1740764641605514,0.02998678676716633
0.3124242424242425,0.8063916759568933,0.14501294114256855,0.16694290258044264,0.17409726208228501,0.027983182592160923
0.3628282828282829,0.8086213303604608,0.14450074164389276,0.16988533947127904,0.1740776973948078,0.02688028138047415
0.4132323232323233,0.8091787439613527,0.14452117048859192,0.16976798171041563,0.17408645114097854,0.026511326573413072
0.4636363636363637,0.8080639167595689,0.1440146499262819,0.172677794766386,0.17407941079205366,0.02633851356226163
0.5140404040404041,0.8052768487551096,0.146492196426663,0.15844501195357263,0.17408432416695238,0.02851149754844892
0.5644444444444445,0.8097361575622445,0.1440183782126046,0.1726563768476963,0.17408135684931603,0.026329272239917198
0.614848484848485,0.8082497212931996,0.14419975403465118,0.1716144255937896,0.17408361738041855,0.02653515554113173
0.6652525252525253,0.8084355258268302,0.14436310457517104,0.17067602433059748,0.17408030270588382,0.026349117994308377
0.7156565656565658,0.808992939427722,0.1440774661284474,0.1723169339864128,0.17408132058676162,0.02615893333143658
0.7660606060606061,0.8088071348940914,0.1440533358016901,0.17245555568327542,0.17408175739045043,0.026116438132133074
0.8164646464646466,0.8082497212931996,0.1444695458981762,0.1700645499415565,0.1740811519820874,0.026220834534312544
0.866868686868687,0.8086213303604608,0.14395072999983335,0.17304499612079582,0.17408095587219566,0.026310425400584488
0.9172727272727274,0.8084355258268302,0.14409801162135166,0.1721989061155964,0.1740830636797615,0.026402176875925044
0.9676767676767678,0.8058342623560015,0.14487669266350833,0.1677256103967204,0.17408293794024246,0.026599447063078208
1.0180808080808081,0.8078781122259383,0.14408564182322808,0.17226996700188224,0.1740871833401157,0.02607665406180703
1.0684848484848486,0.808992939427722,0.1440392469765259,0.17253649187907194,0.17407891899547345,0.026455189252892062
1.118888888888889,0.8084355258268302,0.14401466941486948,0.1726776828101283,0.17408093901218938,0.026316850049521612
1.1692929292929295,0.8082497212931996,0.14408818391212014,0.17225536344183368,0.17408509415560938,0.02602597311624419
1.21969696969697,0.8088071348940914,0.14397936354662078,0.172880504736871,0.17407878358081386,0.026580694856003766
1.2701010101010102,0.808992939427722,0.144020064616222,0.17264668895024715,0.174080679979186,0.026329948233006936
1.3205050505050506,0.8097361575622445,0.14400007929815795,0.17276149877981328,0.1740770012455905,0.0269492892158864
1.370909090909091,0.8082497212931996,0.14411591694095624,0.17209604527117373,0.17408075682684557,0.026374773782178215
1.4213131313131315,0.8086213303604608,0.14412677344842173,0.17203367779882217,0.1740814695202743,0.026272530747306073
1.471717171717172,0.8082497212931996,0.14426431171150206,0.1712435605491266,0.1740853013482803,0.025820996467747277
